time_fs,alpha,Q_ELF,Jz,Ac_ext_z,Ac_xc_z,Exc_z
4.450747160769200073e-01,1.999999987468296658e-01,7.518597457539825946e-02,3.746678391354729904e-06,1.317774521452900083e-04,-7.262644730820918903e-06,-1.056615145319283735e-06
4.644257906889600052e-01,1.999999990059344035e-01,7.518597467280346835e-02,4.099629522616830400e-06,1.581875359845950132e-04,-6.169487851838793061e-06,-1.685889739791932577e-06
4.837768653010000031e-01,1.999999989410214396e-01,7.518597464840075240e-02,4.319655167180059737e-06,1.820186124148309964e-04,-4.552984350691332675e-06,-2.361364334061022757e-06
5.031279399130400565e-01,1.999999981896610213e-01,7.518597436594191830e-02,4.381788760560640109e-06,2.020621392797909927e-04,-2.385235520900541862e-06,-3.059705868918932717e-06
5.224790145250800544e-01,1.999999963500649347e-01,7.518597367438278889e-02,4.267004862550690034e-06,2.172125863384800134e-04,3.415100767958111211e-07,-3.754040981391709833e-06
5.418300891371199413e-01,1.999999931264316022e-01,7.518597246252271826e-02,3.963592389884659708e-06,2.265275075541599910e-04,3.612435902419101239e-06,-4.415022218072183297e-06
5.611811637491600502e-01,1.999999883657994637e-01,7.518597067285887059e-02,3.468138026812770006e-06,2.292808815917799924e-04,7.388668711071776496e-06,-5.012081086636652880e-06
5.805322383612000481e-01,1.999999820681839513e-01,7.518596830539706066e-02,2.786186711725459867e-06,2.250066481552129934e-04,1.160684875918211032e-05,-5.514813715312897363e-06
5.998833129732400460e-01,1.999999743880717384e-01,7.518596541821342960e-02,1.932419394167780035e-06,2.135298727696049949e-04,1.617984143421723328e-05,-5.894435518046401458e-06
6.192343875852800439e-01,1.999999656667159065e-01,7.518596213959521934e-02,9.303173007946589758e-07,1.949836290952960114e-04,2.099861289598002208e-05,-6.125222600131107208e-06
6.385854621973200418e-01,1.999999564491014570e-01,7.518595867441857372e-02,-1.886670751257999953e-07,1.698104589375229966e-04,2.593522685627971432e-05,-6.185859722842598454e-06
6.579365368093600397e-01,1.999999474218014939e-01,7.518595528078682311e-02,-1.386347511477969939e-06,1.387481120632979930e-04,3.084685738681700268e-05,-6.060621302073545780e-06
6.772876114214000376e-01,1.999999393220116828e-01,7.518595223583385279e-02,-2.619353555618129961e-06,1.028001327478899967e-04,3.558066044712693456e-05,-5.740328802327534081e-06
6.966386860334400355e-01,1.999999327772957747e-01,7.518594977547961300e-02,-3.841013936149180176e-06,6.319269815748310669e-05,3.997930535044245904e-05,-5.223034031573454966e-06
7.159897606454800334e-01,1.999999281645201687e-01,7.518594804139945575e-02,-5.003506067631520365e-06,2.131987714028849972e-05,4.388692590347037639e-05,-4.514377778839252098e-06
7.353408352575200313e-01,1.999999256473068421e-01,7.518594709510376117e-02,-6.060128793651649927e-06,-2.131987714028869962e-05,4.715521761623542768e-05,-3.627593009893229439e-06
7.546919098695600292e-01,1.999999251817327628e-01,7.518594692008055691e-02,-6.967548674218249850e-06,-6.319269815748310669e-05,4.964939156296243174e-05,-2.583143958213529693e-06
7.740429844816000271e-01,1.999999263879517486e-01,7.518594737353431756e-02,-7.687821743758580789e-06,-1.028001327478899967e-04,5.125369970212472327e-05,-1.408021896000557057e-06
7.933940590936399140e-01,1.999999285420089867e-01,7.518594818330878726e-02,-8.190128651291569501e-06,-1.387481120632969901e-04,5.187627332169524220e-05,-1.347399444718115489e-07
