time_fs,alpha,Q_ELF,Jz,Ac_ext_z,Ac_xc_z,Exc_z
4.063725668528400115e-01,1.997916142140845897e-01,7.510763660400301966e-02,8.729606777863720482e-04,2.409315499311870043e-02,-2.551858622195491040e-03,-2.262110087490826552e-06
4.257236414648800649e-01,1.998223327295407525e-01,7.511918461168577699e-02,1.040126334604870011e-03,3.289923275018150073e-02,-2.490614123283452826e-03,-1.554047849146105668e-04
4.450747160769200073e-01,1.998618633795660182e-01,7.513404536401764588e-02,1.184522127913300096e-03,4.167168930329590015e-02,-2.296568482114514243e-03,-3.336502205226755382e-04
4.644257906889600052e-01,1.998903074075860375e-01,7.514473832392230823e-02,1.296163061079309928e-03,5.002329111611659995e-02,-1.951308477027608075e-03,-5.325400168981617643e-04
4.837768653010000031e-01,1.998787558814693888e-01,7.514039576015053845e-02,1.365876814383850096e-03,5.755933917742669936e-02,-1.440654123412655292e-03,-7.459611398979225198e-04
5.031279399130400565e-01,1.997924721435620221e-01,7.510795912532441942e-02,1.385870219968470072e-03,6.389765890103130119e-02,-7.559396126116732636e-04,-9.662739660453101764e-04
5.224790145250800544e-01,1.995964439966345094e-01,7.503426628850790037e-02,1.350267173033360040e-03,6.868865092855699905e-02,1.048623692283681490e-04,-1.184580661177671388e-03
5.418300891371199413e-01,1.992621953080855601e-01,7.490861222072507652e-02,1.255531104838319935e-03,7.163428765521440145e-02,1.136292590813693009e-03,-1.391146705632394969e-03
5.611811637491600502e-01,1.987745721466336879e-01,7.472530010647998600e-02,1.100755235048639976e-03,7.250498097613969350e-02,2.324949423147181556e-03,-1.575953053005479292e-03
5.805322383612000481e-01,1.981365745357151764e-01,7.448545774420874122e-02,8.878435285645519667e-04,7.115334968505980517e-02,3.649509136369638671e-03,-1.729321899361730515e-03
5.998833129732400460e-01,1.973712885309816534e-01,7.419776387193208200e-02,6.215376173160020497e-04,6.752407464379189816e-02,5.081249368639481276e-03,-1.842533781886888065e-03
6.192343875852800439e-01,1.965206373171077825e-01,7.387797866723409823e-02,3.092863479039699892e-04,6.165923743866109918e-02,6.585033222337608946e-03,-1.908347690831365545e-03
6.385854621973200418e-01,1.956408732741615752e-01,7.354724908033527520e-02,-3.902781757981539672e-05,5.369878207610689902e-02,8.120646345157623430e-03,-1.921354863835297681e-03
6.579365368093600397e-01,1.947955452612900040e-01,7.322946502592592166e-02,-4.114822847741689965e-04,4.387600551683049771e-02,9.644340380967770729e-03,-1.878140917039564008e-03
6.772876114214000376e-01,1.940471360025425029e-01,7.294811562666211890e-02,-7.945975026570970120e-04,3.250825632509950214e-02,1.111043637956747078e-02,-1.777282080973093936e-03
6.966386860334400355e-01,1.934486897670994188e-01,7.272314180803862715e-02,-1.173908308800020043e-03,1.998328576691730044e-02,1.247287913958086518e-02,-1.619238876047264953e-03
7.159897606454800334e-01,1.930363400039696309e-01,7.256812721303310121e-02,-1.534613468126400050e-03,6.741937119826869711e-03,1.368669015517153496e-02,-1.406220051118286813e-03
7.353408352575200313e-01,1.928228075397447616e-01,7.248785398039894745e-02,-1.862273457439159912e-03,-6.741937119826930426e-03,1.470931957793176342e-02,-1.142076002445336150e-03
