case,gauge,step,time_fs,mean_spread_A2,max_boundary_weight
none,fixed_initial,0,0.0,2.258563467320985,0.0003565024800550462
none,field_free_aligned,0,0.0,2.258563467320985,0.00035650248005504636
none,fixed_initial,200,0.3870214922408,17.99038177538271,0.0027611631270039972
none,field_free_aligned,200,0.3870214922408,2.258563466215661,0.00035650247346052266
none,fixed_initial,400,0.7740429844816,52.42802309472605,0.08602934043543077
none,field_free_aligned,400,0.7740429844816,2.2585634673289334,0.00035650248049153493
none,fixed_initial,600,1.1610644767224,89.24116179313283,0.32248203577485357
none,field_free_aligned,600,1.1610644767224,2.2585634665870207,0.00035650248059082123
none,fixed_initial,800,1.5480859689632,110.66313504526809,0.49949472233114
none,field_free_aligned,800,1.5480859689632,2.258563467580556,0.00035650246620952777
none,fixed_initial,1000,1.935107461204,112.61872000671617,0.4619745853663426
none,field_free_aligned,1000,1.935107461204,2.2585634665980043,0.00035650247378941457
none,fixed_initial,1200,2.3221289534448,110.86505308945746,0.3741192025160018
none,field_free_aligned,1200,2.3221289534448,2.258563467327105,0.0003565024765623857
none,fixed_initial,1400,2.7091504456856,104.1963057111738,0.36320742170129716
none,field_free_aligned,1400,2.7091504456856,2.258563466650132,0.00035650247055216307
none,fixed_initial,1600,3.0961719379264,93.98812294623858,0.2715651170224651
none,field_free_aligned,1600,3.0961719379264,2.2585634663409215,0.00035650248456083115
weak,fixed_initial,0,0.0,2.258563467320985,0.0003565024800550462
weak,field_free_aligned,0,0.0,2.258563467320985,0.00035650248005504636
weak,fixed_initial,200,0.3870214922408,17.99038180263487,0.002761163152973412
weak,field_free_aligned,200,0.3870214922408,2.25856359591885,0.0003565024918718088
weak,fixed_initial,400,0.7740429844816,52.42802132956489,0.08602933945014457
weak,field_free_aligned,400,0.7740429844816,2.258571685538855,0.0003565104612982938
weak,fixed_initial,600,1.1610644767224,89.24114987145097,0.32248197108589693
weak,field_free_aligned,600,1.1610644767224,2.258617427833829,0.0003566834227521881
weak,fixed_initial,800,1.5480859689632,110.66316328419697,0.49949458969092136
weak,field_free_aligned,800,1.5480859689632,2.2586588103423764,0.0003569002247097805
weak,fixed_initial,1000,1.935107461204,112.61899093850025,0.46197456058935815
weak,field_free_aligned,1000,1.935107461204,2.2586607828011487,0.00035690674514390246
weak,fixed_initial,1200,2.3221289534448,110.86514102325481,0.37411925068834057
weak,field_free_aligned,1200,2.3221289534448,2.258649372723432,0.00035685733594198173
weak,fixed_initial,1400,2.7091504456856,104.19631316469022,0.3632074776806091
weak,field_free_aligned,1400,2.7091504456856,2.2586395615242316,0.0003568052660280195
weak,fixed_initial,1600,3.0961719379264,93.98813611883334,0.2715652424479408
weak,field_free_aligned,1600,3.0961719379264,2.258642333199796,0.0003567929557740348
strong,fixed_initial,0,0.0,2.258563467320985,0.0003565024800550462
strong,field_free_aligned,0,0.0,2.258563467320985,0.00035650248005504636
strong,fixed_initial,200,0.3870214922408,17.99310572720792,0.002763756991105616
strong,field_free_aligned,200,0.3870214922408,2.2715220022040135,0.00035834249572194135
strong,fixed_initial,400,0.7740429844816,52.26088995125219,0.08595355411394819
strong,field_free_aligned,400,0.7740429844816,3.0652377689688404,0.001149144893651841
strong,fixed_initial,600,1.1610644767224,88.0988878773326,0.28614687677343803
strong,field_free_aligned,600,1.1610644767224,7.430570538682255,0.01773199035937525
strong,fixed_initial,800,1.5480859689632,108.50629422688291,0.4674186531871918
strong,field_free_aligned,800,1.5480859689632,11.129451738747177,0.03726439705909678
strong,fixed_initial,1000,1.935107461204,113.23042993161883,0.4770171373537614
strong,field_free_aligned,1000,1.935107461204,11.354692512607816,0.038101804794895534
strong,fixed_initial,1200,2.3221289534448,112.05057485036771,0.4051505176925625
strong,field_free_aligned,1200,2.3221289534448,10.38438033574326,0.03388608033005387
strong,fixed_initial,1400,2.7091504456856,104.75820888776403,0.3436648999993183
strong,field_free_aligned,1400,2.7091504456856,9.522372232049186,0.029440930545060407
strong,fixed_initial,1600,3.0961719379264,95.21550240117415,0.2834089528836752
strong,field_free_aligned,1600,3.0961719379264,9.69603464293927,0.027990560120616573
