# Real time calculation:
# Ac_ext: External vector potential field
# E_ext: External electric field
# Ac_tot: Total vector potential field
# E_tot: Total electric field
# Jm: Matter current density (electrons)
# 1:Time[a.u.] 2:Ac_ext_x[a.u.] 3:Ac_ext_y[a.u.] 4:Ac_ext_z[a.u.] 5:E_ext_x[a.u.] 6:E_ext_y[a.u.] 7:E_ext_z[a.u.] 8:Ac_tot_x[a.u.] 9:Ac_tot_y[a.u.] 10:Ac_tot_z[a.u.] 11:E_tot_x[a.u.] 12:E_tot_y[a.u.] 13:E_tot_z[a.u.]  14:Jm_x[a.u.] 15:Jm_y[a.u.] 16:Jm_z[a.u.]
      0.08000000 -0.000000000000000E+000 -0.000000000000000E+000 -0.436480642644180E-006  0.000000000000000E+000  0.000000000000000E+000  0.545600803305225E-005 -0.000000000000000E+000 -0.000000000000000E+000 -0.436480642644180E-006  0.000000000000000E+000  0.000000000000000E+000  0.545600803305225E-005   0.633725638265778E-012  0.624507887673496E-013 -0.121932703808294E-007
      0.16000000 -0.000000000000000E+000 -0.000000000000000E+000 -0.183622978505381E-005 -0.000000000000000E+000 -0.000000000000000E+000  0.174968642801204E-004  0.000000000000000E+000  0.000000000000000E+000 -0.183622978505381E-005 -0.000000000000000E+000 -0.000000000000000E+000  0.174968642801204E-004   0.562068343488122E-012  0.457365968175778E-014 -0.512549079801776E-007
      0.24000000 -0.000000000000000E+000 -0.000000000000000E+000 -0.433359279775772E-005 -0.000000000000000E+000 -0.000000000000000E+000  0.312170376587989E-004  0.000000000000000E+000  0.000000000000000E+000 -0.433359279775772E-005 -0.000000000000000E+000 -0.000000000000000E+000  0.312170376587989E-004   0.496482036767517E-012 -0.494796984056486E-013 -0.120808874168074E-006
      0.32000000 -0.000000000000000E+000 -0.000000000000000E+000 -0.806132332432850E-005 -0.000000000000000E+000 -0.000000000000000E+000  0.465966315821347E-004  0.000000000000000E+000  0.000000000000000E+000 -0.806132332432850E-005 -0.000000000000000E+000 -0.000000000000000E+000  0.465966315821347E-004   0.438414319998366E-012 -0.966025418155210E-013 -0.224346026019482E-006
      0.40000000 -0.000000000000000E+000 -0.000000000000000E+000 -0.131504537393957E-004 -0.000000000000000E+000 -0.000000000000000E+000  0.636141301883400E-004  0.000000000000000E+000  0.000000000000000E+000 -0.131504537393957E-004 -0.000000000000000E+000 -0.000000000000000E+000  0.636141301883400E-004   0.388568626059904E-012 -0.134682336998035E-012 -0.365226296726046E-006
      0.48000000 -0.000000000000000E+000 -0.000000000000000E+000 -0.197301669221646E-004 -0.000000000000000E+000 -0.000000000000000E+000  0.822464147846109E-004  0.000000000000000E+000  0.000000000000000E+000 -0.197301669221646E-004 -0.000000000000000E+000 -0.000000000000000E+000  0.822464147846109E-004   0.347560357893171E-012 -0.163180667146552E-012 -0.546685001375115E-006
      0.56000000 -0.000000000000000E+000 -0.000000000000000E+000 -0.279276694354671E-004 -0.000000000000000E+000 -0.000000000000000E+000  0.102468781416281E-003  0.000000000000000E+000  0.000000000000000E+000 -0.279276694354671E-004 -0.000000000000000E+000 -0.000000000000000E+000  0.102468781416281E-003   0.316256443053340E-012 -0.182642145584294E-012 -0.771840557320187E-006
      0.64000000 -0.000000000000000E+000 -0.000000000000000E+000 -0.378680661994677E-004 -0.000000000000000E+000 -0.000000000000000E+000  0.124254959550008E-003  0.000000000000000E+000  0.000000000000000E+000 -0.378680661994677E-004 -0.000000000000000E+000 -0.000000000000000E+000  0.124254959550008E-003   0.295587362667794E-012 -0.193625806527266E-012 -0.104370174390300E-005
      0.72000000 -0.000000000000000E+000 -0.000000000000000E+000 -0.496742367481657E-004 -0.000000000000000E+000 -0.000000000000000E+000  0.147577131858725E-003  0.000000000000000E+000  0.000000000000000E+000 -0.496742367481657E-004 -0.000000000000000E+000 -0.000000000000000E+000  0.147577131858725E-003   0.286024692730208E-012 -0.195955955264390E-012 -0.136517357434994E-005
      0.80000000 -0.000000000000000E+000 -0.000000000000000E+000 -0.634667131558146E-004 -0.000000000000000E+000 -0.000000000000000E+000  0.172405955095611E-003  0.000000000000000E+000  0.000000000000000E+000 -0.634667131558146E-004 -0.000000000000000E+000 -0.000000000000000E+000  0.172405955095611E-003   0.287327551375829E-012 -0.188893601602682E-012 -0.173906157194842E-005
      0.88000000 -0.000000000000000E+000 -0.000000000000000E+000 -0.793635597192818E-004 -0.000000000000000E+000 -0.000000000000000E+000  0.198710582043340E-003  0.000000000000000E+000  0.000000000000000E+000 -0.793635597192818E-004 -0.000000000000000E+000 -0.000000000000000E+000  0.198710582043340E-003   0.298836432477608E-012 -0.171916222336239E-012 -0.216807457152528E-005
      0.96000000 -0.000000000000000E+000 -0.000000000000000E+000 -0.974802544812649E-004 -0.000000000000000E+000 -0.000000000000000E+000  0.226458684524789E-003  0.000000000000000E+000  0.000000000000000E+000 -0.974802544812649E-004 -0.000000000000000E+000 -0.000000000000000E+000  0.226458684524789E-003   0.320070221321503E-012 -0.145352382925652E-012 -0.265482621963561E-005
      1.04000000 -0.000000000000000E+000 -0.000000000000000E+000 -0.117929572678029E-003 -0.000000000000000E+000 -0.000000000000000E+000  0.255616477459556E-003  0.000000000000000E+000  0.000000000000000E+000 -0.117929572678029E-003 -0.000000000000000E+000 -0.000000000000000E+000  0.255616477459556E-003   0.351024731180514E-012 -0.110314416825191E-012 -0.320183533937343E-005
