# xc field only; Ac_tot and E_tot in rt.data remain classical
# time [a.u.] Axc/c xyz [a.u.] Exc xyz [a.u.]
# extra columns: alpha_used K_estimate P_xyz (all atomic units); K held below field floor
  8.0000000000000002E-002  2.2686587586345479E-015  3.8795199691632478E-016  3.5259362623537611E-016 -5.3707281456672590E-014 -7.3474409186057798E-015  1.5326601308585535E-012  1.0000000000000000E+000  0.0000000000000000E+000 -5.3707281456672590E-014 -7.3474409186057798E-015  1.5326601308585535E-012
  1.6000000000000000E-001  8.5931650330676143E-015  1.1755905469769248E-015 -2.4522562093736856E-013 -1.0153904470223654E-013 -1.0028401679996767E-014  9.5469585651739974E-012  1.0000000000000000E+000  0.0000000000000000E+000 -1.0153904470223654E-013 -1.0028401679996767E-014  9.5469585651739974E-012
  2.3999999999999999E-001  1.8514905910992397E-014  1.9924962657158075E-015 -1.5271607768016042E-012 -1.4388105569612033E-013 -8.2321602414691359E-015  3.1298734265938700E-011  1.0000000000000000E+000  0.0000000000000000E+000 -1.4388105569612033E-013 -8.2321602414691359E-015  3.1298734265938700E-011
  3.2000000000000001E-001  3.1614133944446867E-014  2.4927361856119867E-015 -5.2530231034875606E-012 -1.8127691221547127E-013 -2.3889921937714905E-015  7.4943848420379882E-011  1.0000000000000000E+000  0.0000000000000000E+000 -1.8127691221547127E-013 -2.3889921937714897E-015  7.4943848420379882E-011
  4.0000000000000002E-001  4.7519211865467799E-014  2.3747350167192459E-015 -1.3518176524062386E-011 -2.1435633476362301E-013  6.8622979818992843E-015  1.4950470115878814E-010  1.0000000000000000E+000  0.0000000000000000E+000 -2.1435633476362298E-013  6.8622979818992843E-015  1.4950470115878814E-010
  4.7999999999999998E-001  6.5911147506626550E-014  1.3947685085081012E-015 -2.9173775288893665E-011 -2.4380177521119813E-013  1.8776746510028103E-014  2.6483791681881787E-010  1.0000000000000000E+000  0.0000000000000000E+000 -2.4380177521119813E-013  1.8776746510028103E-014  2.6483791681881787E-010
  5.6000000000000005E-001  8.6527495899259504E-014 -6.2954442488525048E-016 -5.5892243215073250E-011 -2.7035487202541524E-013  3.2609569050559435E-014  4.3160388401054162E-010  1.0000000000000000E+000  0.0000000000000000E+000 -2.7035487202541529E-013  3.2609569050559435E-014  4.3160388401054157E-010
  6.4000000000000001E-001  1.0916792703069299E-013 -3.8227625395814085E-015 -9.8230396730580330E-011 -2.9482922395860674E-013  4.7660246587868350E-014  6.6123821682836373E-010  1.0000000000000000E+000  0.0000000000000000E+000 -2.9482922395860674E-013  4.7660246587868350E-014  6.6123821682836373E-010
  7.1999999999999997E-001  1.3370017173263658E-013 -8.2551838789441872E-015 -1.6169035790761145E-010 -3.1809460623299145E-013  6.3243507331831749E-014  9.6592484649182363E-010  1.0000000000000000E+000  0.0000000000000000E+000 -3.1809460623299140E-013  6.3243507331831762E-014  9.6592484649182363E-010
  8.0000000000000004E-001  1.6006306402797162E-013 -1.3941723712674490E-014 -2.5277837216927212E-010 -3.4103005470333330E-013  7.8637561766192562E-014  1.3585703555348918E-009  1.0000000000000000E+000  0.0000000000000000E+000 -3.4103005470333320E-013  7.8637561766192562E-014  1.3585703555348918E-009
  8.8000000000000000E-001  1.8826498048516991E-013 -2.0837193761534997E-014 -3.7906161479319413E-010 -3.6447857504791671E-013  9.3070189734609223E-014  1.8527792083072916E-009  1.0000000000000000E+000  0.0000000000000000E+000 -3.6447857504791671E-013  9.3070189734609210E-014  1.8527792083072922E-009
  9.5999999999999996E-001  2.1837963603563830E-013 -2.8832954070211965E-014 -5.4922304549843878E-010 -3.8923753930725984E-013  1.0576144469465829E-013  2.4628295837490849E-009  1.0000000000000000E+000  0.0000000000000000E+000 -3.8923753930725974E-013  1.0576144469465829E-013  2.4628295837490853E-009
  1.0400000000000000E+000  2.5054298677433149E-013 -3.7759024912680324E-014 -7.7311434819304770E-010 -4.1608504590079375E-013  1.1598897900689766E-013  3.2036495251198304E-009  1.0000000000000000E+000  0.0000000000000000E+000 -4.1608504590079355E-013  1.1598897900689768E-013  3.2036495251198312E-009
  1.1200000000000001E+000  2.8495324337976530E-013 -4.7391190711315589E-014 -1.0618069695176117E-009 -4.4580358534091151E-013  1.2312754019526328E-013  4.0907931268324828E-009  1.0000000000000000E+000  0.0000000000000000E+000 -4.4580358534091131E-013  1.2312754019526328E-013  4.0907931268324837E-009
  1.2000000000000000E+000  3.2187156042887734E-013 -5.7459431343922450E-014 -1.4276412484862450E-009 -4.7915654767002233E-013  1.2664720612694396E-013  5.1404165337262526E-009  1.0000000000000000E+000  0.0000000000000000E+000 -4.7915654767002223E-013  1.2664720612694388E-013  5.1404165337262518E-009
  1.2800000000000000E+000  3.6161829100696887E-013 -6.7654743691626622E-014 -1.8842736149138121E-009 -5.1680847129940439E-013  1.2609826780078987E-013  6.3692536446632338E-009  1.0000000000000000E+000  0.0000000000000000E+000 -5.1680847129940460E-013  1.2609826780078980E-013  6.3692536446632321E-009
  1.3600000000000001E+000  4.0456091583678203E-013 -7.7635154192048831E-014 -2.4467218316323624E-009 -5.5922645099430058E-013  1.2112277493593647E-013  7.7945915455319171E-009  1.0000000000000000E+000  0.0000000000000000E+000 -5.5922645099430058E-013  1.2112277493593640E-013  7.7945915455319138E-009
  1.4399999999999999E+000  4.5109452316605696E-013 -8.7034387681376456E-014 -3.1314082621989188E-009 -6.0661813624676890E-013  1.1150220016965639E-013  9.4342457797107477E-009  1.0000000000000000E+000  0.0000000000000000E+000 -6.0661813624676869E-013  1.1150220016965638E-013  9.4342457797107444E-009
