case,N_points,rmse_jx_vs_full,pearson_jx_vs_full,max_abs_diff_jx_vs_full,hhg_norm_l2_1_15_vs_full
FULL,600,0.0,1.0,0.0,0.0
DG,600,5.2866108261337546e-06,0.14653844097258129,1.4931902158950844e-05,0.3425119113797098
DGPW,600,1.4644665373122721e-05,-0.0649443610064118,3.628650486112761e-05,0.3190547182576269
DGPWHI,600,0.00010562064182074521,-0.049928364557897474,0.00011639764005867429,0.7333048715800882
