 # Mr=         500
 # Rps(ik), NRps(ik)   1.5117809003662626               82
 # Mlps(ik), Lref(ik) =           1           1
   0.000000000000E+00   0.203441290229E+01   0.000000000000E+00  -0.385782171123E-03   0.000000000000E+00
   0.188972612546E-01   0.203441290229E+01   0.000000000000E+00  -0.385782171123E-03   0.000000000000E+00
   0.377945225092E-01   0.203439832184E+01   0.000000000000E+00   0.164087492954E-01   0.000000000000E+00
   0.566917837637E-01   0.203503304155E+01   0.000000000000E+00   0.354014517132E-01   0.000000000000E+00
   0.755890450183E-01   0.203573625206E+01   0.000000000000E+00   0.396855971011E-01   0.000000000000E+00
   0.944863062729E-01   0.203653281177E+01   0.000000000000E+00   0.428738784301E-01   0.000000000000E+00
   0.113383567527E+00   0.203735638937E+01   0.000000000000E+00   0.414885599390E-01   0.000000000000E+00
   0.132280828782E+00   0.203810039057E+01   0.000000000000E+00   0.303168456152E-01   0.000000000000E+00
   0.151178090037E+00   0.203850155963E+01   0.000000000000E+00   0.123341259172E-01   0.000000000000E+00
   0.170075351291E+00   0.203856544986E+01   0.000000000000E+00  -0.157828354422E-01   0.000000000000E+00
   0.188972612546E+00   0.203790380480E+01   0.000000000000E+00  -0.526979932862E-01   0.000000000000E+00
   0.207869873800E+00   0.203657163071E+01   0.000000000000E+00  -0.983506775985E-01   0.000000000000E+00
   0.226767135055E+00   0.203418434224E+01   0.000000000000E+00  -0.160940336761E+00   0.000000000000E+00
   0.245664396310E+00   0.203048620393E+01   0.000000000000E+00  -0.230992982860E+00   0.000000000000E+00
   0.264561657564E+00   0.202544994170E+01   0.000000000000E+00  -0.309429381849E+00   0.000000000000E+00
   0.283458918819E+00   0.201878672794E+01   0.000000000000E+00  -0.404382880593E+00   0.000000000000E+00
   0.302356180073E+00   0.201016153708E+01   0.000000000000E+00  -0.511503594883E+00   0.000000000000E+00
   0.321253441328E+00   0.199944832498E+01   0.000000000000E+00  -0.630184109964E+00   0.000000000000E+00
   0.340150702582E+00   0.198633751392E+01   0.000000000000E+00  -0.758865089170E+00   0.000000000000E+00
   0.359047963837E+00   0.197075871946E+01   0.000000000000E+00  -0.899659778262E+00   0.000000000000E+00
   0.377945225092E+00   0.195232769319E+01   0.000000000000E+00  -0.105307615857E+01   0.000000000000E+00
   0.396842486346E+00   0.193094890261E+01   0.000000000000E+00  -0.121389888762E+01   0.000000000000E+00
   0.415739747601E+00   0.190643915149E+01   0.000000000000E+00  -0.138481200913E+01   0.000000000000E+00
   0.434637008855E+00   0.187860105794E+01   0.000000000000E+00  -0.156415461230E+01   0.000000000000E+00
   0.453534270110E+00   0.184731283861E+01   0.000000000000E+00  -0.175014583680E+01   0.000000000000E+00
   0.472431531364E+00   0.181244586455E+01   0.000000000000E+00  -0.194187874249E+01   0.000000000000E+00
   0.491328792619E+00   0.177391192564E+01   0.000000000000E+00  -0.213634735247E+01   0.000000000000E+00
   0.510226053874E+00   0.173169513682E+01   0.000000000000E+00  -0.233155431589E+01   0.000000000000E+00
   0.529123315128E+00   0.168578444455E+01   0.000000000000E+00  -0.252849297652E+01   0.000000000000E+00
   0.548020576383E+00   0.163612830971E+01   0.000000000000E+00  -0.272287410273E+01   0.000000000000E+00
   0.566917837637E+00   0.158287049791E+01   0.000000000000E+00  -0.291222052677E+01   0.000000000000E+00
   0.585815098892E+00   0.152606228898E+01   0.000000000000E+00  -0.309595690092E+01   0.000000000000E+00
   0.604712360147E+00   0.146586260100E+01   0.000000000000E+00  -0.327059494862E+01   0.000000000000E+00
   0.623609621401E+00   0.140245736324E+01   0.000000000000E+00  -0.343350594618E+01   0.000000000000E+00
   0.642506882656E+00   0.133610282802E+01   0.000000000000E+00  -0.358319593022E+01   0.000000000000E+00
   0.661404143910E+00   0.126704527352E+01   0.000000000000E+00  -0.371697786178E+01   0.000000000000E+00
   0.680301405165E+00   0.119563646124E+01   0.000000000000E+00  -0.383246633117E+01   0.000000000000E+00
   0.699198666419E+00   0.112221871990E+01   0.000000000000E+00  -0.392819187031E+01   0.000000000000E+00
   0.718095927674E+00   0.104719524535E+01   0.000000000000E+00  -0.400164040879E+01   0.000000000000E+00
   0.736993188929E+00   0.971004317681E+00   0.000000000000E+00  -0.405172094321E+01   0.000000000000E+00
   0.755890450183E+00   0.894092152736E+00   0.000000000000E+00  -0.407648713617E+01   0.000000000000E+00
   0.774787711438E+00   0.816965776933E+00   0.000000000000E+00  -0.407512801264E+01   0.000000000000E+00
   0.793684972692E+00   0.740108501077E+00   0.000000000000E+00  -0.404719589750E+01   0.000000000000E+00
   0.812582233947E+00   0.664038604417E+00   0.000000000000E+00  -0.399152265627E+01   0.000000000000E+00
   0.831479495201E+00   0.589284603934E+00   0.000000000000E+00  -0.390844759305E+01   0.000000000000E+00
   0.850376756456E+00   0.516354427502E+00   0.000000000000E+00  -0.379858075809E+01   0.000000000000E+00
   0.869274017711E+00   0.445750995376E+00   0.000000000000E+00  -0.366264149691E+01   0.000000000000E+00
   0.888171278965E+00   0.377955933330E+00   0.000000000000E+00  -0.350197613944E+01   0.000000000000E+00
   0.907068540220E+00   0.313421318715E+00   0.000000000000E+00  -0.331843503457E+01   0.000000000000E+00
   0.925965801474E+00   0.252559502788E+00   0.000000000000E+00  -0.311388500885E+01   0.000000000000E+00
   0.944863062729E+00   0.195749126530E+00   0.000000000000E+00  -0.289101015753E+01   0.000000000000E+00
   0.963760323983E+00   0.143306028746E+00   0.000000000000E+00  -0.265269749245E+01   0.000000000000E+00
   0.982657585238E+00   0.954958484412E-01   0.000000000000E+00  -0.240199890321E+01   0.000000000000E+00
   0.100155484649E+01   0.525206324399E-01   0.000000000000E+00  -0.214244917786E+01   0.000000000000E+00
   0.102045210775E+01   0.145141708408E-01   0.000000000000E+00  -0.187752003609E+01   0.000000000000E+00
   0.103934936900E+01  -0.184556374927E-01   0.000000000000E+00  -0.161092841082E+01   0.000000000000E+00
   0.105824663026E+01  -0.463925416052E-01   0.000000000000E+00  -0.134638376666E+01   0.000000000000E+00
   0.107714389151E+01  -0.693697648308E-01   0.000000000000E+00  -0.108753164848E+01   0.000000000000E+00
   0.109604115277E+01  -0.875283762871E-01   0.000000000000E+00  -0.837940999979E+00   0.000000000000E+00
   0.111493841402E+01  -0.101076794960E+00   0.000000000000E+00  -0.600955145264E+00   0.000000000000E+00
   0.113383567527E+01  -0.110281352035E+00   0.000000000000E+00  -0.379654208188E+00   0.000000000000E+00
   0.115273293653E+01  -0.115467703993E+00   0.000000000000E+00  -0.176880789281E+00   0.000000000000E+00
   0.117163019778E+01  -0.117008935854E+00   0.000000000000E+00   0.503203733918E-02   0.000000000000E+00
   0.119052745904E+01  -0.115319055096E+00   0.000000000000E+00   0.164099780501E+00   0.000000000000E+00
   0.120942472029E+01  -0.110846184042E+00   0.000000000000E+00   0.298752447419E+00   0.000000000000E+00
   0.122832198155E+01  -0.104063639209E+00   0.000000000000E+00   0.408041878100E+00   0.000000000000E+00
   0.124721924280E+01  -0.954556972032E-01   0.000000000000E+00   0.491488691814E+00   0.000000000000E+00
   0.126611650406E+01  -0.855136981910E-01   0.000000000000E+00   0.549092421081E+00   0.000000000000E+00
   0.128501376531E+01  -0.747222579659E-01   0.000000000000E+00   0.581520894175E+00   0.000000000000E+00
   0.130391102657E+01  -0.635479122099E-01   0.000000000000E+00   0.589944214967E+00   0.000000000000E+00
   0.132280828782E+01  -0.524309853491E-01   0.000000000000E+00   0.576096926512E+00   0.000000000000E+00
   0.134170554908E+01  -0.417729961100E-01   0.000000000000E+00   0.542268915072E+00   0.000000000000E+00
   0.136060281033E+01  -0.319277576550E-01   0.000000000000E+00   0.491377370234E+00   0.000000000000E+00
   0.137950007158E+01  -0.231873777190E-01   0.000000000000E+00   0.426878095321E+00   0.000000000000E+00
   0.139839733284E+01  -0.157747719278E-01   0.000000000000E+00   0.352781921164E+00   0.000000000000E+00
   0.141729459409E+01  -0.983112429363E-02   0.000000000000E+00   0.273708223009E+00   0.000000000000E+00
   0.143619185535E+01  -0.540508958459E-02   0.000000000000E+00   0.194839300712E+00   0.000000000000E+00
   0.145508911660E+01  -0.244213607725E-02   0.000000000000E+00   0.121950883976E+00   0.000000000000E+00
   0.147398637786E+01  -0.773013651178E-03   0.000000000000E+00   0.614073686848E-01   0.000000000000E+00
   0.149288363911E+01  -0.103029259480E-03   0.000000000000E+00   0.201730381004E-01   0.000000000000E+00
   0.151178090037E+01   0.000000000000E+00   0.000000000000E+00   0.267446005787E-02   0.000000000000E+00
   0.153067816162E+01   0.000000000000E+00   0.000000000000E+00   0.000000000000E+00   0.000000000000E+00
