# energy_eV,Re_epsilon,Im_epsilon
1.000000000000000056e-01,2.011388568391780041e+02,-2.486460057913129447e+02
1.100000000000000006e-01,1.938507793740834586e+02,-2.102326375354641073e+02
1.199999999999999956e-01,1.861797771116854108e+02,-1.777359332867152659e+02
1.300000000000000044e-01,1.781978919229552218e+02,-1.499704813405131745e+02
1.399999999999999856e-01,1.699783373970240632e+02,-1.260878579266489510e+02
1.499999999999999667e-01,1.615944920237370752e+02,-1.054615380808168226e+02
1.599999999999999756e-01,1.531189075649687368e+02,-8.761509266026027376e+01
1.699999999999999845e-01,1.446223491701300645e+02,-7.217589663294896241e+01
1.799999999999999656e-01,1.361728831612777810e+02,-5.884446992322707359e+01
1.899999999999999467e-01,1.278350274834395037e+02,-4.737372701954762988e+01
1.999999999999999556e-01,1.196689785990426742e+02,-3.755469594713114390e+01
2.099999999999999645e-01,1.117299271205081368e+02,-2.920657191278525389e+01
2.199999999999999456e-01,1.040674727469784386e+02,-2.216974137496853459e+01
2.299999999999999267e-01,9.672514713037352863e+01,-1.630088089502161708e+01
2.399999999999999356e-01,8.974005117851083924e+01,-1.146952778897654746e+01
2.499999999999999445e-01,8.314261104973195415e+01,-7.555706838066249986e+00
2.599999999999998979e-01,7.695645474942526221e+01,-4.448319816509242131e+00
2.699999999999999067e-01,7.119840885238201622e+01,-2.044086469357819791e+00
2.799999999999999156e-01,6.587861249683230369e+01,-2.468814585619860391e-01
2.899999999999999245e-01,6.100074347821952614e+01,1.032649228244769901e+00
2.999999999999999334e-01,5.656234906527476625e+01,1.877281102487911024e+00
3.099999999999998868e-01,5.255527211841688739e+01,2.363281594166561028e+00
3.199999999999998956e-01,4.896616125900428074e+01,2.560411157310134911e+00
3.299999999999999045e-01,4.577705226161933894e+01,2.531896357479310744e+00
3.399999999999998579e-01,4.296600655925764300e+01,2.334406859718741956e+00
3.499999999999998668e-01,4.050779179547514275e+01,2.018060568826255619e+00
3.599999999999998757e-01,3.837458875314279538e+01,1.626474747512766328e+00
3.699999999999998845e-01,3.653670875299006582e+01,1.196875440561253168e+00
3.799999999999998934e-01,3.496330575396595464e+01,7.602727620065325986e-01
3.899999999999998468e-01,3.362306789941351326e+01,3.417054299298701858e-01
3.999999999999998557e-01,3.248487412614029779e+01,-3.944571702163231219e-02
4.099999999999998646e-01,3.151840266597481488e+01,-3.690786582559711926e-01
4.199999999999998179e-01,3.069467979027454874e+01,-6.379317335915686282e-01
4.299999999999998268e-01,2.998655893737765510e+01,-8.410941973304799646e-01
4.399999999999998357e-01,2.936912237371153722e+01,-9.774759992785954088e-01
