energy_eV,delta_Im_epsilon
1.159999999999999920e+00,-1.291166974029729602e+02
1.169999999999999929e+00,-1.821578210197998260e+02
1.179999999999999938e+00,-2.297001798665498029e+02
1.189999999999999947e+00,-2.709128654761673261e+02
1.199999999999999956e+00,-3.053830494761777459e+02
1.209999999999999964e+00,-3.330196104660378751e+02
1.219999999999999973e+00,-3.539479701572155932e+02
1.229999999999999982e+00,-3.684086517535466214e+02
1.239999999999999991e+00,-3.766701983261313558e+02
1.250000000000000000e+00,-3.789643788990663325e+02
1.260000000000000009e+00,-3.754483809192287822e+02
1.270000000000000018e+00,-3.661952812150416889e+02
1.280000000000000027e+00,-3.512108385550939715e+02
1.290000000000000036e+00,-3.304718583764351933e+02
1.300000000000000044e+00,-3.039792817330530283e+02
1.310000000000000053e+00,-2.718179039534716139e+02
1.320000000000000062e+00,-2.342143019806090365e+02
1.330000000000000071e+00,-1.915851195931086863e+02
1.340000000000000080e+00,-1.445692188781054028e+02
1.350000000000000089e+00,-9.403917650921901839e+01
1.360000000000000098e+00,-4.108995672120615694e+01
1.370000000000000107e+00,1.299492445696390419e+01
1.380000000000000115e+00,6.679707155332205559e+01
1.390000000000000124e+00,1.188320445204489175e+02
1.400000000000000133e+00,1.676272214709748880e+02
1.409999999999999920e+00,2.118017599696229070e+02
1.419999999999999929e+00,2.501416526654565757e+02
1.429999999999999938e+00,2.816634984055342557e+02
1.439999999999999947e+00,3.056618472885935489e+02
1.449999999999999956e+00,3.217366812836328336e+02
1.459999999999999964e+00,3.297995733739319917e+02
1.469999999999999973e+00,3.300591182339186389e+02
1.479999999999999982e+00,3.229881363285267071e+02
1.489999999999999991e+00,3.092767316018659471e+02
1.500000000000000000e+00,2.897763799477214661e+02
1.510000000000000009e+00,2.654407437335785858e+02
1.520000000000000018e+00,2.372688107160523714e+02
1.530000000000000027e+00,2.062552717620604028e+02
1.540000000000000036e+00,1.733518690987672244e+02
1.550000000000000044e+00,1.394419040013753488e+02
1.560000000000000053e+00,1.053283643178402968e+02
1.570000000000000062e+00,7.173441019190907753e+01
1.580000000000000071e+00,3.931343102462134453e+01
1.590000000000000080e+00,8.664727050313064893e+00
1.600000000000000089e+00,-1.964979469199409223e+01
1.610000000000000098e+00,-4.509260927004121555e+01
1.620000000000000107e+00,-6.714544325342923514e+01
1.630000000000000115e+00,-8.531516826972340084e+01
1.640000000000000124e+00,-9.915236569357497842e+01
1.650000000000000133e+00,-1.082824208633562222e+02
1.660000000000000142e+00,-1.124471126620289994e+02
1.669999999999999929e+00,-1.115528725762499107e+02
1.679999999999999938e+00,-1.057203982212034816e+02
1.689999999999999947e+00,-9.532929846476342561e+01
1.699999999999999956e+00,-8.105105808927997657e+01
1.709999999999999964e+00,-6.386392083364784611e+01
1.719999999999999973e+00,-4.504431646568026082e+01
1.729999999999999982e+00,-2.613114665266172665e+01
1.739999999999999991e+00,-8.861475454574895494e+00
1.750000000000000000e+00,4.921235029917595760e+00
1.760000000000000009e+00,1.338246677651153504e+01
1.770000000000000018e+00,1.482905674982166389e+01
1.780000000000000027e+00,7.849890255971407882e+00
1.790000000000000036e+00,-8.545601962760795089e+00
1.800000000000000044e+00,-3.480253871733471271e+01
1.810000000000000053e+00,-7.072068189350778766e+01
1.820000000000000062e+00,-1.153899802901144795e+02
1.830000000000000071e+00,-1.671701171488613795e+02
1.840000000000000080e+00,-2.237198755369890932e+02
1.850000000000000089e+00,-2.820787342335647736e+02
1.860000000000000098e+00,-3.387992846361260035e+02
1.870000000000000107e+00,-3.901251032571468045e+02
1.880000000000000115e+00,-4.322049343174737146e+02
1.890000000000000124e+00,-4.613307406656755916e+02
1.900000000000000133e+00,-4.741846497416647139e+02
1.910000000000000142e+00,-4.680782851458329787e+02
1.919999999999999929e+00,-4.411675938596666811e+02
1.929999999999999938e+00,-3.926271296431225437e+02
