energy_eV,delta_vs_alpha02,delta_vs_same_alpha
5.899999999999999689e-01,9.833869183252895141e+01,9.692086614833925751e+01
5.999999999999999778e-01,1.196399717832234586e+02,1.183125340419740041e+02
6.099999999999999867e-01,1.383965150905816586e+02,1.371996173563262857e+02
6.199999999999999956e-01,1.539852885170368211e+02,1.529424789986468056e+02
6.300000000000000044e-01,1.658527846956569647e+02,1.649718480380498704e+02
6.400000000000000133e-01,1.735458347302439961e+02,1.728207087469715475e+02
6.500000000000000222e-01,1.767385975921143597e+02,1.761520524630127227e+02
6.600000000000000311e-01,1.752536613037453606e+02,1.747804253981020395e+02
6.700000000000000400e-01,1.690756563277421094e+02,1.686856900590512964e+02
6.800000000000000488e-01,1.583563565835025884e+02,1.580180091061993153e+02
6.900000000000000577e-01,1.434108780370901286e+02,1.430937074809707497e+02
7.000000000000000666e-01,1.247052267558237446e+02,1.243823189375673905e+02
7.099999999999999645e-01,1.028360477432144791e+02,1.024857266209883591e+02
7.199999999999999734e-01,7.850393876862480624e+01,7.811082016847390719e+01
7.299999999999999822e-01,5.248208483109407041e+01,5.203747940858547594e+01
7.399999999999999911e-01,2.558221518623483703e+01,2.508393402313522813e+01
7.500000000000000000e-01,-1.380025133760086620e+00,-1.928370880028537071e+00
7.600000000000000089e-01,-2.761826213403097796e+01,-2.820834908369616301e+01
7.700000000000000178e-01,-5.240531696444494969e+01,-5.302545108417428565e+01
7.800000000000000266e-01,-7.509837026639721103e+01,-7.573494454737304693e+01
7.900000000000000355e-01,-9.515828029722604242e+01,-9.579721771111515238e+01
8.000000000000000444e-01,-1.121624294770196002e+02,-1.127904961745440744e+02
8.100000000000000533e-01,-1.258109477871001047e+02,-1.264168442680991689e+02
8.200000000000000622e-01,-1.359266113895062347e+02,-1.365017767533438473e+02
8.300000000000000711e-01,-1.424491085032279614e+02,-1.429882024208281166e+02
8.399999999999999689e-01,-1.454246759261963007e+02,-1.459257322666369987e+02
8.499999999999999778e-01,-1.449923206415571713e+02,-1.454565935760919331e+02
8.599999999999999867e-01,-1.413679426788872604e+02,-1.417994887783918898e+02
8.699999999999999956e-01,-1.348276679441412966e+02,-1.352327249507177953e+02
8.800000000000000044e-01,-1.256915917902604036e+02,-1.260778255696578185e+02
8.900000000000000133e-01,-1.143089417425724719e+02,-1.146846371384805394e+02
9.000000000000000222e-01,-1.010454127325363913e+02,-1.014186818887893367e+02
9.100000000000000311e-01,-8.627313572209692438e+01,-8.665120961358570639e+01
9.200000000000000400e-01,-7.036343736505948243e+01,-7.075209385275852014e+01
9.300000000000000488e-01,-5.368226015222206371e+01,-5.408542618658079704e+01
9.400000000000000577e-01,-3.658786227857210349e+01,-3.700741039931205734e+01
9.500000000000000666e-01,-1.943022270737110091e+01,-1.986596423318093940e+01
