energy_au,energy_eV,re_eps_z,im_eps_z
0.08300000,2.25854506,5.557489968412e+02,-4.743139201370e+03
0.08400000,2.28575644,7.075322298044e+02,-4.699074051467e+03
0.08500000,2.31296783,8.566157646415e+02,-4.650468922389e+03
0.08600000,2.34017922,1.002883249307e+03,-4.597438811367e+03
0.08700000,2.36739060,1.146221344810e+03,-4.540101862886e+03
0.08800000,2.39460199,1.286519912903e+03,-4.478579329396e+03
0.08900000,2.42181338,1.423672199907e+03,-4.412995518399e+03
0.09000000,2.44902476,1.557575016187e+03,-4.343477726403e+03
0.09100000,2.47623615,1.688128910800e+03,-4.270156160247e+03
0.09200000,2.50344753,1.815238340850e+03,-4.193163846281e+03
0.09300000,2.53065892,1.938811835078e+03,-4.112636527897e+03
0.09400000,2.55787031,2.058762151246e+03,-4.028712551909e+03
0.09500000,2.58508169,2.175006426873e+03,-3.941532744278e+03
0.09600000,2.61229308,2.287466322900e+03,-3.851240275706e+03
0.09700000,2.63950447,2.396068159871e+03,-3.757980517590e+03
0.09800000,2.66671585,2.500743046254e+03,-3.661900888876e+03
0.09900000,2.69392724,2.601426998501e+03,-3.563150694343e+03
0.10000000,2.72113862,2.698061052517e+03,-3.461880954843e+03
0.10100000,2.74835001,2.790591366191e+03,-3.358244230067e+03
0.10200000,2.77556140,2.878969312678e+03,-3.252394434367e+03
0.10300000,2.80277278,2.963151564141e+03,-3.144486646225e+03
0.10400000,2.82998417,3.043100165687e+03,-3.034676911922e+03
0.10500000,2.85719556,3.118782599255e+03,-2.923122044001e+03
0.10600000,2.88440694,3.190171837240e+03,-2.809979415096e+03
0.10700000,2.91161833,3.257246385659e+03,-2.695406747737e+03
0.10800000,2.93882971,3.319990316694e+03,-2.579561900715e+03
0.10900000,2.96604110,3.378393290486e+03,-2.462602652614e+03
0.11000000,2.99325249,3.432450566061e+03,-2.344686483117e+03
0.11100000,3.02046387,3.482163001310e+03,-2.225970352683e+03
0.11200000,3.04767526,3.527537041985e+03,-2.106610481213e+03
0.11300000,3.07488665,3.568584699669e+03,-1.986762126308e+03
0.11400000,3.10209803,3.605323518752e+03,-1.866579361718e+03
0.11500000,3.12930942,3.637776532433e+03,-1.746214856586e+03
0.11600000,3.15652080,3.665972207827e+03,-1.625819656090e+03
0.11700000,3.18373219,3.689944380269e+03,-1.505542964058e+03
0.11800000,3.21094358,3.709732176949e+03,-1.385531928158e+03
0.11900000,3.23815496,3.725379930024e+03,-1.265931428215e+03
0.12000000,3.26536635,3.736937079405e+03,-1.146883868236e+03
0.12100000,3.29257774,3.744458065422e+03,-1.028528972686e+03
0.12200000,3.31978912,3.748002211618e+03,-9.110035875496e+02
0.12300000,3.34700051,3.747633597933e+03,-7.944414867101e+02
0.12400000,3.37421189,3.743420924576e+03,-6.789731841443e+02
0.12500000,3.40142328,3.735437366913e+03,-5.647257524282e+02
0.12600000,3.42863467,3.723760421704e+03,-4.518226480208e+02
0.12700000,3.45584605,3.708471745074e+03,-3.403835437783e+02
0.12800000,3.48305744,3.689656982596e+03,-2.305241691270e+02
0.12900000,3.51026883,3.667405591913e+03,-1.223561583012e+02
0.13000000,3.53748021,3.641810658331e+03,-1.598690703033e+01
0.13100000,3.56469160,3.612968703823e+03,8.848056196765e+01
0.13200000,3.59190298,3.580979489946e+03,1.909477243532e+02
0.13300000,3.61911437,3.545945815126e+03,2.913206700864e+02
0.13400000,3.64632576,3.507973306840e+03,3.895102096246e+02
0.13500000,3.67353714,3.467170209199e+03,4.854319701448e+02
0.13600000,3.70074853,3.423647166465e+03,5.790064815696e+02
0.13700000,3.72795992,3.377517003044e+03,6.701592522060e+02
0.13800000,3.75517130,3.328894500498e+03,7.588208338318e+02
0.13900000,3.78238269,3.277896172133e+03,8.449268761017e+02
0.14000000,3.80959407,3.224640035732e+03,9.284181701680e+02
0.14100000,3.83680546,3.169245384985e+03,1.009240681449e+03
0.14200000,3.86401685,3.111832560189e+03,1.087345571505e+03
0.14300000,3.89122823,3.052522718788e+03,1.162689209010e+03
0.14400000,3.91843962,2.991437606312e+03,1.235233169854e+03
0.14500000,3.94565101,2.928699328283e+03,1.304944226407e+03
0.14600000,3.97286239,2.864430123645e+03,1.371794326062e+03
0.14700000,4.00007378,2.798752140261e+03,1.435760559136e+03
0.14800000,4.02728516,2.731787213035e+03,1.496825116301e+03
0.14900000,4.05449655,2.663656645178e+03,1.554975235703e+03
0.15000000,4.08170794,2.594480993148e+03,1.610203139982e+03
0.15100000,4.10891932,2.524379855767e+03,1.662505963410e+03
0.15200000,4.13613071,2.453471668018e+03,1.711885669420e+03
0.15300000,4.16334210,2.381873499984e+03,1.758348958793e+03
0.15400000,4.19055348,2.309700861414e+03,1.801907168828e+03
0.15500000,4.21776487,2.237067512328e+03,1.842576163812e+03
0.15600000,4.24497625,2.164085280112e+03,1.880376217153e+03
0.15700000,4.27218764,2.090863883481e+03,1.915331885562e+03
0.15800000,4.29939903,2.017510763701e+03,1.947471875657e+03
0.15900000,4.32661041,1.944130923419e+03,1.976828903433e+03
0.16000000,4.35382180,1.870826773434e+03,2.003439547013e+03
0.16100000,4.38103319,1.797697987710e+03,2.027344093142e+03
0.16200000,4.40824457,1.724841366910e+03,2.048586377882e+03
0.16300000,4.43545596,1.652350710706e+03,2.067213621984e+03
0.16400000,4.46266734,1.580316699086e+03,2.083276261445e+03
0.16500000,4.48987873,1.508826782850e+03,2.096827773718e+03
0.16600000,4.51709012,1.437965083465e+03,2.107924500117e+03
0.16700000,4.54430150,1.367812302424e+03,2.116625464902e+03
0.16800000,4.57151289,1.298445640198e+03,2.122992191587e+03
0.16900000,4.59872428,1.229938724884e+03,2.127088516976e+03
0.17000000,4.62593566,1.162361550582e+03,2.128980403457e+03
0.17100000,4.65314705,1.095780425526e+03,2.128735750088e+03
0.17200000,4.68035843,1.030257929962e+03,2.126424202975e+03
0.17300000,4.70756982,9.658528837367e+02,2.122116965476e+03
0.17400000,4.73478121,9.026203235251e+02,2.115886608746e+03
0.17500000,4.76199259,8.406114896048e+02,2.107806883116e+03
0.17600000,4.78920398,7.798738220578e+02,2.097952530810e+03
0.17700000,4.81641537,7.204509662474e+02,2.086399100496e+03
0.17800000,4.84362675,6.623827873952e+02,2.073222764126e+03
0.17900000,4.87083814,6.057053940582e+02,2.058500136556e+03
0.18000000,4.89804952,5.504511702801e+02,2.042308098363e+03
0.18100000,4.92526091,4.966488161677e+02,2.024723622323e+03
0.18200000,4.95247230,4.443233966213e+02,2.005823603939e+03
0.18300000,4.97968368,3.934963979251e+02,1.985684696431e+03
0.18400000,5.00689507,3.441857918858e+02,1.964383150568e+03
0.18500000,5.03410646,2.964061071858e+02,1.941994659689e+03
0.18600000,5.06131784,2.501685076022e+02,1.918594210251e+03
0.18700000,5.08852923,2.054808767251e+02,1.894255938231e+03
0.18800000,5.11574061,1.623479087934e+02,1.869052991653e+03
0.18900000,5.14295200,1.207712052551e+02,1.843057399520e+03
0.19000000,5.17016339,8.074937664422e+01,1.816339947386e+03
0.19100000,5.19737477,4.227814935893e+01,1.788970059793e+03
0.19200000,5.22458616,5.350476913452e+00,1.761015689749e+03
0.19300000,5.25179755,-3.004334476768e+01,1.732543215432e+03
0.19400000,5.27900893,-6.391555845266e+01,1.703617344244e+03
0.19500000,5.30622032,-9.628082354536e+01,1.674301024331e+03
0.19600000,5.33343170,-1.271560913136e+02,1.644655363660e+03
0.19700000,5.36064309,-1.565604778491e+02,1.614739556712e+03
0.19800000,5.38785448,-1.845151352051e+02,1.584610818816e+03
0.19900000,5.41506586,-2.110431211552e+02,1.554324328148e+03
0.20000000,5.44227725,-2.361692680124e+02,1.523933175358e+03
0.20100000,5.46948864,-2.599200509454e+02,1.493488320796e+03
0.20200000,5.49670002,-2.823234562165e+02,1.463038559266e+03
0.20300000,5.52391141,-3.034088497653e+02,1.432630492209e+03
0.20400000,5.55112279,-3.232068465441e+02,1.402308507207e+03
0.20500000,5.57833418,-3.417491810086e+02,1.372114764664e+03
0.20600000,5.60554557,-3.590685791477e+02,1.342089191504e+03
0.20700000,5.63275695,-3.751986324292e+02,1.312269481715e+03
0.20800000,5.65996834,-3.901736740190e+02,1.282691103510e+03
0.20900000,5.68717973,-4.040286576179e+02,1.253387312921e+03
0.21000000,5.71439111,-4.167990392440e+02,1.224389173554e+03
0.21100000,5.74160250,-4.285206622693e+02,1.195725582269e+03
0.21200000,5.76881388,-4.392296460014e+02,1.167423300508e+03
0.21300000,5.79602527,-4.489622780824e+02,1.139506990981e+03
0.21400000,5.82323666,-4.577549109566e+02,1.111999259421e+03
0.21500000,5.85044804,-4.656438626379e+02,1.084920701088e+03
0.21600000,5.87765943,-4.726653219863e+02,1.058289951707e+03
0.21700000,5.90487082,-4.788552586824e+02,1.032123742508e+03
0.21800000,5.93208220,-4.842493380657e+02,1.006436959028e+03
0.21900000,5.95929359,-4.888828409799e+02,9.812427033433e+02
0.22000000,5.98650497,-4.927905887479e+02,9.565523593654e+02
0.22100000,6.01371636,-4.960068733744e+02,9.323756608650e+02
0.22200000,6.04092775,-4.985653930524e+02,9.087207618629e+02
0.22300000,6.06813913,-5.004991930278e+02,8.855943090362e+02
0.22400000,6.09535052,-5.018406118531e+02,8.630015157866e+02
0.22500000,6.12256191,-5.026212330400e+02,8.409462376207e+02
0.22600000,6.14977329,-5.028718420983e+02,8.194310484950e+02
0.22700000,6.17698468,-5.026223889278e+02,7.984573177844e+02
0.22800000,6.20419606,-5.019019555086e+02,7.780252875385e+02
0.22900000,6.23140745,-5.007387288155e+02,7.581341496973e+02
0.23000000,6.25861884,-4.991599788625e+02,7.387821229482e+02
0.23100000,6.28583022,-4.971920417646e+02,7.199665289146e+02
0.23200000,6.31304161,-4.948603076855e+02,7.016838673763e+02
0.23300000,6.34025300,-4.921892135244e+02,6.839298902391e+02
0.23400000,6.36746438,-4.892022401768e+02,6.666996739755e+02
0.23500000,6.39467577,-4.859219141908e+02,6.499876902818e+02
0.23600000,6.42188715,-4.823698136244e+02,6.337878747034e+02
0.23700000,6.44909854,-4.785665778982e+02,6.180936930014e+02
0.23800000,6.47630993,-4.745319214240e+02,6.028982050467e+02
0.23900000,6.50352131,-4.702846507809e+02,5.881941260449e+02
0.24000000,6.53073270,-4.658426851982e+02,5.739738849151e+02
0.24100000,6.55794409,-4.612230800994e+02,5.602296796590e+02
0.24200000,6.58515547,-4.564420534510e+02,5.469535295803e+02
0.24300000,6.61236686,-4.515150146561e+02,5.341373242275e+02
0.24400000,6.63957824,-4.464565957268e+02,5.217728689566e+02
0.24500000,6.66678963,-4.412806844677e+02,5.098519270248e+02
0.24600000,6.69400102,-4.360004593971e+02,4.983662581494e+02
0.24700000,6.72121240,-4.306284261363e+02,4.873076534802e+02
0.24800000,6.74842379,-4.251764549931e+02,4.766679669578e+02
0.24900000,6.77563518,-4.196558194710e+02,4.664391430426e+02
0.25000000,6.80284656,-4.140772354346e+02,4.566132408232e+02
0.25100000,6.83005795,-4.084509006690e+02,4.471824545272e+02
0.25200000,6.85726933,-4.027865345739e+02,4.381391304756e+02
0.25300000,6.88448072,-3.970934177398e+02,4.294757805404e+02
0.25400000,6.91169211,-3.913804311606e+02,4.211850921783e+02
0.25500000,6.93890349,-3.856560948459e+02,4.132599351330e+02
0.25600000,6.96611488,-3.799286056054e+02,4.056933649111e+02
0.25700000,6.99332627,-3.742058737857e+02,3.984786231496e+02
0.25800000,7.02053765,-3.684955587544e+02,3.916091350121e+02
0.25900000,7.04774904,-3.628051029354e+02,3.850785037558e+02
0.26000000,7.07496042,-3.571417642127e+02,3.788805026296e+02
0.26100000,7.10217181,-3.515126465329e+02,3.730090642704e+02
0.26200000,7.12938320,-3.459247285512e+02,3.674582677771e+02
0.26300000,7.15659458,-3.403848901787e+02,3.622223236475e+02
0.26400000,7.18380597,-3.348999369046e+02,3.572955567751e+02
0.26500000,7.21101736,-3.294766217810e+02,3.526723877052e+02
0.26600000,7.23822874,-3.241216649757e+02,3.483473123588e+02
0.26700000,7.26544013,-3.188417708103e+02,3.443148804348e+02
0.26800000,7.29265151,-3.136436422213e+02,3.405696727059e+02
0.26900000,7.31986290,-3.085339925933e+02,3.371062774250e+02
0.27000000,7.34707429,-3.035195549341e+02,3.339192660608e+02
0.27100000,7.37428567,-2.986070883724e+02,3.310031685799e+02
0.27200000,7.40149706,-2.938033819795e+02,3.283524484943e+02
0.27300000,7.42870845,-2.891152559283e+02,3.259614778875e+02
0.27400000,7.45591983,-2.845495600195e+02,3.238245126326e+02
0.27500000,7.48313122,-2.801131696211e+02,3.219356680101e+02
0.27600000,7.51034260,-2.758129790792e+02,3.202888949267e+02
0.27700000,7.53755399,-2.716558926752e+02,3.188779569333e+02
0.27800000,7.56476538,-2.676488132154e+02,3.176964082300e+02
0.27900000,7.59197676,-2.637986283534e+02,3.167375728407e+02
0.28000000,7.61918815,-2.601121947584e+02,3.159945251289e+02
0.28100000,7.64639954,-2.565963202527e+02,3.154600718188e+02
0.28200000,7.67361092,-2.532577440529e+02,3.151267356731e+02
0.28300000,7.70082231,-2.501031152617e+02,3.149867409705e+02
0.28400000,7.72803369,-2.471389697620e+02,3.150320009120e+02
0.28500000,7.75524508,-2.443717056773e+02,3.152541070747e+02
0.28600000,7.78245647,-2.418075575686e+02,3.156443210180e+02
