itt,time_au,time_as,para_z,dia_z,total_z
47,0.9400000000,22.7375126691,-1.175598000000e-04,6.063313000000e-05,-5.692668000000e-05
48,0.9600000000,23.2212895344,-1.176705000000e-04,6.063313000000e-05,-5.703739000000e-05
49,0.9800000000,23.7050663997,-1.176554000000e-04,6.063313000000e-05,-5.702231000000e-05
50,1.0000000000,24.1888432651,-1.175144000000e-04,6.063313000000e-05,-5.688126000000e-05
51,1.0200000000,24.6726201304,-1.172473000000e-04,6.063313000000e-05,-5.661415000000e-05
52,1.0400000000,25.1563969957,-1.168542000000e-04,6.063313000000e-05,-5.622103000000e-05
53,1.0600000000,25.6401738610,-1.163352000000e-04,6.063313000000e-05,-5.570208000000e-05
54,1.0800000000,26.1239507263,-1.156907000000e-04,6.063313000000e-05,-5.505758000000e-05
55,1.1000000000,26.6077275916,-1.149211000000e-04,6.063313000000e-05,-5.428793000000e-05
56,1.1200000000,27.0915044569,-1.140268000000e-04,6.063313000000e-05,-5.339368000000e-05
57,1.1400000000,27.5752813222,-1.130086000000e-04,6.063313000000e-05,-5.237546000000e-05
58,1.1600000000,28.0590581875,-1.118672000000e-04,6.063313000000e-05,-5.123405000000e-05
59,1.1800000000,28.5428350528,-1.106034000000e-04,6.063313000000e-05,-4.997031000000e-05
60,1.2000000000,29.0266119181,-1.092184000000e-04,6.063313000000e-05,-4.858525000000e-05
61,1.2200000000,29.5103887834,-1.077131000000e-04,6.063313000000e-05,-4.707997000000e-05
62,1.2400000000,29.9941656487,-1.060888000000e-04,6.063313000000e-05,-4.545570000000e-05
63,1.2600000000,30.4779425140,-1.043469000000e-04,6.063313000000e-05,-4.371377000000e-05
64,1.2800000000,30.9617193793,-1.024887000000e-04,6.063313000000e-05,-4.185561000000e-05
65,1.3000000000,31.4454962446,-1.005159000000e-04,6.063313000000e-05,-3.988277000000e-05
66,1.3200000000,31.9292731099,-9.843004000000e-05,6.063313000000e-05,-3.779691000000e-05
67,1.3400000000,32.4130499752,-9.623290000000e-05,6.063313000000e-05,-3.559977000000e-05
68,1.3600000000,32.8968268405,-9.392634000000e-05,6.063313000000e-05,-3.329321000000e-05
69,1.3800000000,33.3806037058,-9.151231000000e-05,6.063313000000e-05,-3.087918000000e-05
70,1.4000000000,33.8643805711,-8.899285000000e-05,6.063313000000e-05,-2.835972000000e-05
71,1.4200000000,34.3481574364,-8.637011000000e-05,6.063313000000e-05,-2.573698000000e-05
72,1.4400000000,34.8319343017,-8.364631000000e-05,6.063313000000e-05,-2.301318000000e-05
73,1.4600000000,35.3157111670,-8.082377000000e-05,6.063313000000e-05,-2.019064000000e-05
74,1.4800000000,35.7994880323,-7.790490000000e-05,6.063313000000e-05,-1.727177000000e-05
75,1.5000000000,36.2832648976,-7.489217000000e-05,6.063313000000e-05,-1.425904000000e-05
76,1.5200000000,36.7670417629,-7.178815000000e-05,6.063313000000e-05,-1.115502000000e-05
77,1.5400000000,37.2508186282,-6.859548000000e-05,6.063313000000e-05,-7.962346000000e-06
78,1.5600000000,37.7345954935,-6.531687000000e-05,6.063313000000e-05,-4.683734000000e-06
79,1.5800000000,38.2183723588,-6.195509000000e-05,6.063313000000e-05,-1.321962000000e-06
80,1.6000000000,38.7021492241,-5.851301000000e-05,6.063313000000e-05,2.120123000000e-06
81,1.6200000000,39.1859260894,-5.499352000000e-05,6.063313000000e-05,5.639608000000e-06
82,1.6400000000,39.6697029547,-5.139961000000e-05,6.063313000000e-05,9.233523000000e-06
83,1.6600000000,40.1534798200,-4.773429000000e-05,6.063313000000e-05,1.289884000000e-05
84,1.6800000000,40.6372566853,-4.400065000000e-05,6.063313000000e-05,1.663248000000e-05
85,1.7000000000,41.1210335506,-4.020183000000e-05,6.063313000000e-05,2.043131000000e-05
86,1.7200000000,41.6048104159,-3.634099000000e-05,6.063313000000e-05,2.429214000000e-05
87,1.7400000000,42.0885872812,-3.242136000000e-05,6.063313000000e-05,2.821178000000e-05
88,1.7600000000,42.5723641465,-2.844620000000e-05,6.063313000000e-05,3.218694000000e-05
89,1.7800000000,43.0561410118,-2.441880000000e-05,6.063313000000e-05,3.621433000000e-05
90,1.8000000000,43.5399178771,-2.034250000000e-05,6.063313000000e-05,4.029063000000e-05
91,1.8200000000,44.0236947424,-1.622066000000e-05,6.063313000000e-05,4.441248000000e-05
92,1.8400000000,44.5074716077,-1.205665000000e-05,6.063313000000e-05,4.857648000000e-05
93,1.8600000000,44.9912484730,-7.853893000000e-06,6.063313000000e-05,5.277924000000e-05
94,1.8800000000,45.4750253383,-3.615807000000e-06,6.063313000000e-05,5.701732000000e-05
95,1.9000000000,45.9588022036,6.541640000000e-07,6.063313000000e-05,6.128730000000e-05
96,1.9200000000,46.4425790689,4.952567000000e-06,6.063313000000e-05,6.558570000000e-05
97,1.9400000000,46.9263559342,9.275940000000e-06,6.063313000000e-05,6.990907000000e-05
98,1.9600000000,47.4101327995,1.362081000000e-05,6.063313000000e-05,7.425395000000e-05
99,1.9800000000,47.8939096648,1.798372000000e-05,6.063313000000e-05,7.861685000000e-05
100,2.0000000000,48.3776865301,2.236119000000e-05,6.063313000000e-05,8.299432000000e-05
101,2.0200000000,48.8614633954,2.674975000000e-05,6.063313000000e-05,8.738288000000e-05
102,2.0400000000,49.3452402607,3.114596000000e-05,6.063313000000e-05,9.177909000000e-05
103,2.0600000000,49.8290171260,3.554636000000e-05,6.063313000000e-05,9.617949000000e-05
104,2.0800000000,50.3127939913,3.994752000000e-05,6.063313000000e-05,1.005807000000e-04
105,2.1000000000,50.7965708566,4.434603000000e-05,6.063313000000e-05,1.049792000000e-04
106,2.1200000000,51.2803477219,4.873850000000e-05,6.063313000000e-05,1.093716000000e-04
107,2.1400000000,51.7641245872,5.312154000000e-05,6.063313000000e-05,1.137547000000e-04
108,2.1600000000,52.2479014525,5.749182000000e-05,6.063313000000e-05,1.181249000000e-04
109,2.1800000000,52.7316783178,6.184601000000e-05,6.063313000000e-05,1.224791000000e-04
110,2.2000000000,53.2154551831,6.618083000000e-05,6.063313000000e-05,1.268140000000e-04
111,2.2200000000,53.6992320484,7.049303000000e-05,6.063313000000e-05,1.311262000000e-04
112,2.2400000000,54.1830089137,7.477939000000e-05,6.063313000000e-05,1.354125000000e-04
113,2.2600000000,54.6667857790,7.903673000000e-05,6.063313000000e-05,1.396699000000e-04
114,2.2800000000,55.1505626443,8.326192000000e-05,6.063313000000e-05,1.438951000000e-04
115,2.3000000000,55.6343395096,8.745188000000e-05,6.063313000000e-05,1.480850000000e-04
116,2.3200000000,56.1181163749,9.160355000000e-05,6.063313000000e-05,1.522367000000e-04
117,2.3400000000,56.6018932402,9.571393000000e-05,6.063313000000e-05,1.563471000000e-04
118,2.3600000000,57.0856701055,9.978010000000e-05,6.063313000000e-05,1.604132000000e-04
119,2.3800000000,57.5694469708,1.037992000000e-04,6.063313000000e-05,1.644323000000e-04
120,2.4000000000,58.0532238361,1.077683000000e-04,6.063313000000e-05,1.684014000000e-04
121,2.4200000000,58.5370007014,1.116846000000e-04,6.063313000000e-05,1.723178000000e-04
122,2.4400000000,59.0207775667,1.155456000000e-04,6.063313000000e-05,1.761787000000e-04
123,2.4600000000,59.5045544320,1.193484000000e-04,6.063313000000e-05,1.799815000000e-04
124,2.4800000000,59.9883312973,1.230905000000e-04,6.063313000000e-05,1.837237000000e-04
