# energy_eV,HSE_Re,HSE_Im,TDCDFT_Re,TDCDFT_Im
1.000000000000000021e-02,2.603358814472534846e+02,-2.641287461292486114e+03,4.783908825090944106e+02,-4.843155481984881590e+03
2.000000000000000042e-02,2.572509033861755370e+02,-1.294021243997119200e+03,4.726468614769427745e+02,-2.371855370679057160e+03
2.999999999999999889e-02,2.521922180098893875e+02,-8.337573701406255395e+02,4.632260932019008806e+02,-1.527207083890505146e+03
4.000000000000000083e-02,2.452810794775462284e+02,-5.959594842984361094e+02,4.503517703728461470e+02,-1.090547714215562110e+03
5.000000000000000278e-02,2.366810654507287950e+02,-4.479122159063374511e+02,4.343252073226653351e+02,-8.185013949351400697e+02
5.999999999999999778e-02,2.265922356790318588e+02,-3.455082029610570089e+02,4.155152767364260740e+02,-6.301874017262410916e+02
7.000000000000000666e-02,2.152440828774825263e+02,-2.699272651540380821e+02,3.943456404401393343e+02,-4.910983549269080299e+02
8.000000000000000167e-02,2.028875884390637907e+02,-2.118034752606791642e+02,3.712803263824228566e+02,-3.840646581903526453e+02
8.999999999999999667e-02,1.897867302619339966e+02,-1.659464342548338607e+02,3.468082672389567165e+02,-2.995738410801515101e+02
1.000000000000000056e-01,1.762098070636192517e+02,-1.292300394958207903e+02,3.214274490404441735e+02,-2.318986006104841806e+02
1.100000000000000006e-01,1.624209424193630582e+02,-9.963414842373607883e+01,2.956293196884511190e+02,-1.773390621569325845e+02
1.199999999999999956e-01,1.486721128306193975e+02,-7.576751152578789572e+01,2.698840777202915433e+02,-1.333476103358000842e+02
1.300000000000000044e-01,1.351960088080411992e+02,-5.661352413595966482e+01,2.446274033962322392e+02,-9.806235134660241215e+01
1.400000000000000133e-01,1.221999885213562180e+02,-4.138787514887477670e+01,2.202491107804176238e+02,-7.004581647530177690e+01
1.499999999999999944e-01,1.098613230302925956e+02,-2.945616003787575110e+01,1.970840958931908062e+02,-4.813369373917556260e+01
1.600000000000000033e-01,9.832386400330014453e+01,-2.028532304338850523e+01,1.754058380957492886e+02,-3.134568052773276037e+01
1.700000000000000122e-01,8.769619300549187813e+01,-1.341493377538897391e+01,1.554225860912706310e+02,-1.883280876342309185e+01
1.799999999999999933e-01,7.805123982713368491e+01,-8.440383295630160987e+00,1.372762329689354033e+02,-9.846736931785930125e+00
1.900000000000000022e-01,6.942728971290190998e+01,-5.003301694508264674e+00,1.210437630942462590e+02,-3.722394910536065638e+00
2.000000000000000111e-01,6.183023915893963363e+01,-2.786290914746782033e+00,1.067410433539696015e+02,1.313550750512109122e-01
2.099999999999999922e-01,5.523691003668965038e+01,-1.510116105692018040e+00,9.432863745129210997e+01,2.236461632663496069e+00
2.200000000000000011e-01,4.959919434787403958e+01,-9.321458713051450351e-01,8.371924867510074364e+01,3.048072629183970594e+00
2.300000000000000100e-01,4.484877828350569473e+01,-8.452518947505898161e-01,7.478634661605315159e+01,2.956045618347382664e+00
2.399999999999999911e-01,4.090218497519175855e+01,-1.076664973608408626e+00,6.737350806945759985e+01,2.286535663007562391e+00
2.500000000000000000e-01,3.766588007308764929e+01,-1.486488317111200663e+00,6.130400185024751636e+01,1.304243943199571598e+00
2.600000000000000089e-01,3.504120196298029555e+01,-1.965718185808869922e+00,5.639017011363309706e+01,2.156360484425896840e-01
2.700000000000000178e-01,3.292890726667200596e+01,-2.433732423042427317e+00,5.244220249636668285e+01,-8.267671998299792602e-01
2.800000000000000266e-01,3.123315993705135085e+01,-2.835288251205346111e+00,4.927596044493532901e+01,-1.719077714919485578e+00
2.899999999999999800e-01,2.986483607120872819e+01,-3.137127397535167450e+00,4.671958321184578722e+01,-2.399870247188567784e+00
2.999999999999999889e-01,2.874406364015564108e+01,-3.324322846755171756e+00,4.461868944934285253e+01,-2.843394053937170263e+00
3.099999999999999978e-01,2.780196378449080896e+01,-3.396520119502766555e+00,4.284007420933516386e+01,-3.052450215779072717e+00
3.200000000000000067e-01,2.698160543338219242e+01,-3.364229477977422444e+00,4.127388568038934125e+01,-3.051235751917965366e+00
3.300000000000000155e-01,2.623822537581833814e+01,-3.245316374410320392e+00,3.983434474463280850e+01,-2.878448972980250264e+00
3.400000000000000244e-01,2.553879960549699035e+01,-3.061818379011493452e+00,3.845913960725062708e+01,-2.580923972237756825e+00
3.500000000000000333e-01,2.486107737272918072e+01,-2.837190430957262866e+00,3.710768430407859597e+01,-2.208019994695654908e+00
3.599999999999999867e-01,2.419220609944204980e+01,-2.594049246838128209e+00,3.575847169116650548e+01,-1.806938016144149284e+00
3.699999999999999956e-01,2.352708294016613166e+01,-2.352454714109247558e+00,3.440577738503401406e+01,-1.419076633413867361e+00
3.800000000000000044e-01,2.286656766927731610e+01,-2.128733519673428276e+00,3.305598083468510850e+01,-1.077476613066280287e+00
3.900000000000000133e-01,2.221568261803776423e+01,-1.934820244537357681e+00,3.172376395408767635e+01,-8.053421709545085516e-01
4.000000000000000222e-01,2.158190986532715527e+01,-1.778065433683495122e+00,3.042842802005305458e+01,-6.155707997613882876e-01
4.100000000000000311e-01,2.097367539665621550e+01,-1.661440008968760873e+00,2.919053800425077938e+01,-5.111751659526244662e-01
4.199999999999999845e-01,2.039908625679332488e+01,-1.584051622271724247e+00,2.802906281693068635e+01,-4.864424997540102158e-01
4.299999999999999933e-01,1.986496164969007339e+01,-1.541881438853872410e+00,2.695913306688920841e+01,-5.286504775751896812e-01
4.400000000000000022e-01,1.937617422839105430e+01,-1.528649218087998696e+00,2.599048798935536198e+01,-6.201445421419178317e-01
4.500000000000000111e-01,1.893529502715696111e+01,-1.536719824117484867e+00,2.512663321210676060e+01,-7.405798632662931036e-01
4.600000000000000200e-01,1.854251590667121263e+01,-1.557974516079143612e+00,2.436468385784317192e+01,-8.691409614056005983e-01
4.700000000000000289e-01,1.819580796486888730e+01,-1.584584352693212628e+00,2.369582560265042659e+01,-9.865720485961763098e-01
4.799999999999999822e-01,1.789126369422466212e+01,-1.609639471136227407e+00,2.310629174962313215e+01,-1.076879558535349446e+00
4.899999999999999911e-01,1.762356494691498909e+01,-1.627605496295100762e+00,2.257872861896634475e+01,-1.128602964556709498e+00
5.000000000000000000e-01,1.738651784880266860e+01,-1.634595592379240347e+00,2.209380550693184020e+01,-1.135588440518741082e+00
5.100000000000000089e-01,1.717359921170510262e+01,-1.628462516717831710e+00,2.163191944283113344e+01,-1.097239759670457060e+00
5.200000000000000178e-01,1.697846600527711303e+01,-1.608728520352014524e+00,2.117484872615745672e+01,-1.018259672719550535e+00
5.300000000000000266e-01,1.679538915777206043e+01,-1.576381367715217641e+00,2.070722198598990360e+01,-9.079306684395780369e-01
5.400000000000000355e-01,1.661958435073219675e+01,-1.533571711066062049e+00,2.021769005559329813e+01,-7.790145972410148500e-01
5.500000000000000444e-01,1.644742452842137936e+01,-1.483250437158567525e+00,1.969971471866037405e+01,-6.463745991895104570e-01
5.600000000000000533e-01,1.627653058687584675e+01,-1.428784558671350347e+00,1.915191951966555450e+01,-5.254390199072029866e-01
5.700000000000000622e-01,1.610574728978673420e+01,-1.373587141792568467e+00,1.857798134123245148e+01,-4.306348800977647384e-01
5.799999999999999600e-01,1.593502020173838929e+01,-1.320791220239447172e+00,1.798607528650587994e+01,-3.739178206792485581e-01
5.899999999999999689e-01,1.576519586310609533e+01,-1.272990346925365834e+00,1.738791756591663074e+01,-3.635165732006259698e-01
5.999999999999999778e-01,1.559777130738981299e+01,-1.232060141484559779e+00,1.679747972485373353e+01,-4.029936355622812938e-01
6.099999999999999867e-01,1.543462031388681055e+01,-1.199066667795975372e+00,1.622947104517335148e+01,-4.907010829170470045e-01
6.199999999999999956e-01,1.527772267173292065e+01,-1.174259424601169499e+00,1.569770300060753243e+01,-6.196827521770550407e-01
6.300000000000000044e-01,1.512891955116892539e+01,-1.157139751259280702e+00,1.521345930218043208e+01,-7.780430913841359652e-01
6.400000000000000133e-01,1.498971330822228509e+01,-1.146589993398315910e+00,1.478399680185805920e+01,-9.497706087593236202e-01
6.500000000000000222e-01,1.486112424329795445e+01,-1.141045128181712220e+00,1.441129623117876157e+01,-1.115972005679518153e+00
6.600000000000000311e-01,1.474361057509946882e+01,-1.138686831771559049e+00,1.409116777513712115e+01,-1.256443621589919513e+00
6.700000000000000400e-01,1.463705174220574357e+01,-1.137640131669629628e+00,1.381279558251292272e+01,-1.351481523505476234e+00
6.800000000000000488e-01,1.454078960665545495e+01,-1.136154625856994560e+00,1.355877864416873457e+01,-1.383811991701308752e+00
6.900000000000000577e-01,1.445371761150863676e+01,-1.132755452376979388e+00,1.330569451902125877e+01,-1.340511543281919904e+00
7.000000000000000666e-01,1.437440472137277325e+01,-1.126353357833905111e+00,1.302517890735551198e+01,-1.214780885161498070e+00
7.099999999999999645e-01,1.430123920199154774e+01,-1.116307898543966726e+00,1.268547999587468489e+01,-1.007440761949190078e+00
7.199999999999999734e-01,1.423257698896016521e+01,-1.102442567510811822e+00,1.225341384155488456e+01,-7.280295656612969513e-01
7.299999999999999822e-01,1.416688044926244672e+01,-1.085015060910343720e+00,1.169661780822849195e+01,-3.954023309210835113e-01
7.399999999999999911e-01,1.410283554066393563e+01,-1.064649630589638241e+00,1.098597506950676461e+01,-3.775741373726091560e-02
7.500000000000000000e-01,1.403943843246331014e+01,-1.042241253256543487e+00,1.009806604685216769e+01,3.079506232668033361e-01
7.600000000000000089e-01,1.397604622801558705e+01,-1.018843023915460444e+00,9.017493618892125085e+00,5.972173569856010777e-01
7.700000000000000178e-01,1.391239017009203316e+01,-9.955486993667125306e-01,7.738928842248953721e+00,7.797816844496985311e-01
7.800000000000000266e-01,1.384855327477578513e+01,-9.733817290431246994e-01,6.268733093089187136e+00,8.019360078073213272e-01
7.900000000000000355e-01,1.378491743080367193e+01,-9.532005576584358097e-01,4.626030763579471738e+00,6.092488147284906841e-01
8.000000000000000444e-01,1.372208738585746879e+01,-9.356276813930171077e-01,2.843133173418671777e+00,1.495650990861195073e-01
8.100000000000000533e-01,1.366080056522223707e+01,-9.210071491180060743e-01,9.652479046243650496e-01,-6.238730765525734023e-01
8.200000000000000622e-01,1.360183226377152899e+01,-9.093922072017428526e-01,-9.505534097510688341e-01,-1.749358280275101540e+00
8.300000000000000711e-01,1.354590543756708598e+01,-9.005618718167296421e-01,-2.837093844632871953e+00,-3.253879155252150657e+00
8.399999999999999689e-01,1.349361319276426485e+01,-8.940626299367977481e-01,-4.619518775012092959e+00,-5.150683897218038432e+00
8.499999999999999778e-01,1.344536028763576141e+01,-8.892694255764251876e-01,-6.218293648704174892e+00,-7.437402532805079680e+00
8.599999999999999867e-01,1.340132773504309682e+01,-8.854587255870262075e-01,-7.552636635139903021e+00,-1.009485949665514504e+01
8.699999999999999956e-01,1.336146214929221898e+01,-8.818858536220629540e-01,-8.544220809425832286e+00,-1.308667417366395824e+01
8.800000000000000044e-01,1.332548905793064620e+01,-8.778589339084500454e-01,-9.120959113686330610e+00,-1.635970642830456967e+01
8.900000000000000133e-01,1.329294721315405958e+01,-8.728026329834815966e-01,-9.220674077930794965e+00,-1.984535890542109371e+01
9.000000000000000222e-01,1.326323917123438001e+01,-8.663063049295200990e-01,-8.794454142924411855e+00,-2.346170062300279113e+01
9.100000000000000311e-01,1.323569219482343939e+01,-8.581529681619717298e-01,-7.809509715758661486e+00,-2.711632985057792311e+01
9.200000000000000400e-01,1.320962294743714871e+01,-8.483275779476546763e-01,-6.251364419632096769e+00,-3.070985126830308687e+01
9.300000000000000488e-01,1.318439950627646517e+01,-8.370051095879301739e-01,-4.125249299128935121e+00,-3.413980557507626656e+01
9.400000000000000577e-01,1.315949487458130740e+01,-8.245208442399070137e-01,-1.456608299358597591e+00,-3.730486138328969759e+01
9.500000000000000666e-01,1.313452733241882520e+01,-8.113267910030608210e-01,1.709330104571515019e+00,-4.010906125279195322e+01
9.599999999999999645e-01,1.310928448971697691e+01,-7.979392630531275676e-01,5.308910361353387231e+00,-4.246590732396559531e+01
9.699999999999999734e-01,1.308372963633189556e+01,-7.848831783965900533e-01,9.262281312576000403e+00,-4.430207776174893297e+01
9.799999999999999822e-01,1.305799074994352260e+01,-7.726386556468183286e-01,1.347639888494387428e+01,-4.556058292879568228e+01
9.899999999999999911e-01,1.303233415848692012e+01,-7.615949519351330466e-01,1.784865493413361648e+01,-4.620319893458211880e+01
1.000000000000000000e+00,1.300712621497870991e+01,-7.520158196679286311e-01,2.227095289488466889e+01,-4.621205433343452285e+01
1.010000000000000009e+00,1.298278731674579589e+01,-7.440190543263416334e-01,2.663402670867603916e+01,-4.559029104719532199e+01
1.020000000000000018e+00,1.295974311696028458e+01,-7.375715049061210005e-01,3.083178687908070614e+01,-4.436177038758636115e+01
1.030000000000000027e+00,1.293837780826076411e+01,-7.324992712983943166e-01,3.476547720356990823e+01,-4.256984637965529572e+01
1.040000000000000036e+00,1.291899392605979635e+01,-7.285113656058549436e-01,3.834743774103976932e+01,-4.027527837208350547e+01
1.050000000000000044e+00,1.290178228472533384e+01,-7.252338978667638436e-01,4.150429312068620646e+01,-3.755340019264889406e+01
1.060000000000000053e+00,1.288680451942413541e+01,-7.222509646039667608e-01,4.417941888597544420e+01,-3.449070118945524399e+01
1.070000000000000062e+00,1.287398938045031827e+01,-7.191479392915416380e-01,4.633458008316163301e+01,-3.118100317756302786e+01
1.080000000000000071e+00,1.286314254793261114e+01,-7.155528152947805420e-01,4.795068315281615412e+01,-2.772143498086622060e+01
1.090000000000000080e+00,1.285396843506369891e+01,-7.111716209756815399e-01,4.902763146280332052e+01,-2.420841202372923817e+01
1.100000000000000089e+00,1.284610134699301121e+01,-7.058146619717401427e-01,4.958332351405052663e+01,-2.073382215091731240e+01
1.110000000000000098e+00,1.283914255673705185e+01,-6.994113634584803174e-01,4.965187802165563369e+01,-1.738160116523183163e+01
1.120000000000000107e+00,1.283269941419100668e+01,-6.920126784866816871e-01,4.928120906395161427e+01,-1.422485380917307296e+01
1.130000000000000115e+00,1.282642254877225518e+01,-6.837812776293079597e-01,4.853010508815964386e+01,-1.132364003190565427e+01
