# energy_eV,HSE_Re,HSE_Im,TDCDFT_Re,TDCDFT_Im
1.169999999999999929e+00,1.286825267705938991e+01,-6.584471322879378308e-01,3.497176063817487801e+01,-1.204417323723282607e+01
1.179999999999999938e+00,1.286257380420549445e+01,-6.485553334484185362e-01,3.513402824504494504e+01,-1.118865036071717611e+01
1.189999999999999947e+00,1.285697059723790581e+01,-6.389045043736903962e-01,3.523831114953402022e+01,-1.034547497277497285e+01
1.199999999999999956e+00,1.285146638260738960e+01,-6.295749114593917062e-01,3.528709654673836127e+01,-9.519128623560943581e+00
1.209999999999999964e+00,1.284609540088434443e+01,-6.206389686375203274e-01,3.528321203841739617e+01,-8.713750805586812476e+00
1.219999999999999973e+00,1.284090142774706678e+01,-6.121601294942269345e-01,3.522978309718400425e+01,-7.933115562876114524e+00
1.229999999999999982e+00,1.283593629578401973e+01,-6.041919780080152735e-01,3.513018943623126233e+01,-7.180613168015498537e+00
1.239999999999999991e+00,1.283125834272671995e+01,-5.967775247618987144e-01,3.498802087156309426e+01,-6.459236810959449571e+00
1.250000000000000000e+00,1.282693081189757756e+01,-5.899487126281282023e-01,3.480703323466426014e+01,-5.771574177648611581e+00
1.260000000000000009e+00,1.282302023058112717e+01,-5.837261331019023558e-01,3.459110485748197306e+01,-5.119803736965491403e+00
1.270000000000000018e+00,1.281959479170786764e+01,-5.781189516816869212e-01,3.434419410960129682e+01,-4.505695501974487982e+00
1.280000000000000027e+00,1.281672276367775076e+01,-5.731250379664587502e-01,3.407029842074786075e+01,-3.930615986291044806e+00
1.290000000000000036e+00,1.281447095234450906e+01,-5.687312934785760943e-01,3.377341517143983651e+01,-3.395537039134032042e+00
1.300000000000000044e+00,1.281290323812802967e+01,-5.649141676396580714e-01,3.345750478194242561e+01,-2.901048213290112088e+00
1.310000000000000053e+00,1.281207920991926485e+01,-5.616403498446921327e-01,3.312645627583175667e+01,-2.447372298833670357e+00
1.320000000000000062e+00,1.281205291588803519e+01,-5.588676232192791860e-01,3.278405554058788596e+01,-2.034383641810887600e+00
1.330000000000000071e+00,1.281287174950013963e+01,-5.565458634313079633e-01,3.243395645476915945e+01,-1.661628860861126933e+00
1.340000000000000080e+00,1.281457548700001858e+01,-5.546181638905075539e-01,3.207965500044851836e+01,-1.328349575424282225e+00
1.350000000000000089e+00,1.281719549032714234e+01,-5.530220668381096161e-01,3.172446643157593016e+01,-1.033506766154546952e+00
1.360000000000000098e+00,1.282075408692138296e+01,-5.516908782366370945e-01,3.137150552450797392e+01,-7.758064007138264495e-01
1.370000000000000107e+00,1.282526413515295083e+01,-5.505550430505974369e-01,3.102366989671626385e+01,-5.537259754535704959e-01
1.380000000000000115e+00,1.283072878121167193e+01,-5.495435564951094420e-01,3.068362634410553369e+01,-3.655416447581005257e-01
1.390000000000000124e+00,1.283714141023810384e+01,-5.485853861532975495e-01,3.035380011674694956e+01,-2.093556341276751886e-01
1.400000000000000133e+00,1.284448579131336032e+01,-5.476108795530911788e-01,3.003636702731777319e+01,-8.312365952786718304e-02
1.409999999999999920e+00,1.285273641268834055e+01,-5.465531318746982281e-01,2.973324826614564032e+01,1.531789675859635338e-02
1.419999999999999929e+00,1.286185900037521890e+01,-5.453492889511052377e-01,2.944610778135582763e+01,8.822527541664544615e-02
1.429999999999999938e+00,1.287181120999806083e+01,-5.439417616380427534e-01,2.917635207195262836e+01,1.379212884065448008e-01
1.439999999999999947e+00,1.288254347866303817e+01,-5.422793289726061117e-01,2.892513223535814504e+01,1.667700935107269966e-01
1.449999999999999956e+00,1.289400002062173378e+01,-5.403181093080939856e-01,2.869334810850750728e+01,1.771529373658185802e-01
1.459999999999999964e+00,1.290611994772516979e+01,-5.380223807940520686e-01,2.848165434250509875e+01,1.714449864658949829e-01
1.469999999999999973e+00,1.291883849316282884e+01,-5.353652351436511969e-01,2.829046825445875513e+01,1.519933454670336082e-01
1.479999999999999982e+00,1.293208831480932908e+01,-5.323290515635160647e-01,2.811997930577523519e+01,1.210963448402982007e-01
1.489999999999999991e+00,1.294580085271787695e+01,-5.289057809723526349e-01,2.797016006323815063e+01,8.098416565344591922e-02
