# eV,ground_re,ground_im,pumped_re,pumped_im
2.300000000000000100e-01,5.322638969658905950e+01,-8.355130495769762078e+00,-8.658291780936638133e+02,1.535292030325788119e+03
2.399999999999999911e-01,4.971464262512142085e+01,-5.940113582251052904e+00,-9.331343301548271256e+02,1.395341105840054752e+03
2.500000000000000000e-01,4.640583865631050742e+01,-3.982019621993087899e+00,-9.842119974298999523e+02,1.254329111275769719e+03
2.600000000000000089e-01,4.330987789265156351e+01,-2.423757124653426853e+00,-1.019376723034928091e+03,1.114181851892927170e+03
2.700000000000000178e-01,4.043317984071050120e+01,-1.212634030408641150e+00,-1.039206783904586700e+03,9.767330465661102608e+02
2.800000000000000266e-01,3.777882150158897190e+01,-3.000098353898240644e-01,-1.044519298492858070e+03,8.436872066258667928e+02
2.899999999999999800e-01,3.534672825798429585e+01,3.589250416309796021e-01,-1.036341280210174318e+03,7.165880648176554359e+02
2.999999999999999889e-01,3.313391100502054343e+01,8.052865889748056505e-01,-1.015877482196374217e+03,5.967928311469147502e+02
3.099999999999999978e-01,3.113474223841908994e+01,1.076584298367270653e+00,-9.844759273581298658e+02,4.854524552108152875e+02
3.200000000000000067e-01,2.934126328049206833e+01,1.206782881003227281e+00,-9.435920407811205450e+02,3.834979599315101950e+02
3.300000000000000155e-01,2.774351449831740624e+01,1.226357097168482069e+00,-8.947522998077306511e+02,2.916327879046036173e+02
3.400000000000000244e-01,2.632988025014681099e+01,1.162353166087939593e+00,-8.395182911069040301e+02,2.103309758424102824e+02
3.500000000000000333e-01,2.508744038099089479e+01,1.038466177343212449e+00,-7.794520154762793709e+02,1.398408506411062433e+02
3.599999999999999867e-01,2.400232036662833579e+01,8.751396267362716586e-01,-7.160832120329404233e+02,8.019382728038046082e+01
3.699999999999999956e-01,2.306003266243661187e+01,6.896904896088842385e-01,-6.508793865159190091e+02,3.121778805213649832e+01
3.800000000000000044e-01,2.224580243064984586e+01,4.964610160654802096e-01,-5.852191267179903207e+02,-7.445562325472132592e+00
3.900000000000000133e-01,2.154487157454467550e+01,3.069966116963406821e-01,-5.203691749879011468e+02,-3.632003794504068139e+01
4.000000000000000222e-01,2.094277587540710428e+01,1.302477026319335818e-01,-4.574656069118050823e+02,-5.607172857088242068e+01
4.100000000000000311e-01,2.042559098064412026e+01,-2.720766260636362649e-02,-3.974993404074443788e+02,-6.748391781466428085e+01
4.199999999999999845e-01,1.998014400053041228e+01,-1.609245792170524159e-01,-3.413060742432991219e+02,-7.143091396787984593e+01
4.299999999999999933e-01,1.959418850786596167e+01,-2.683401176167750646e-01,-2.895606329973547872e+02,-6.885153024462644566e+01
4.400000000000000022e-01,1.925654177071911732e+01,-3.485152683131221285e-01,-2.427755800357689964e+02,-6.072291750410307287e+01
4.500000000000000111e-01,1.895718405608840129e+01,-4.018751785426322720e-01,-2.013038542365839874e+02,-4.803540143875386548e+01
4.600000000000000200e-01,1.868732079629860010e+01,-4.299527917456708037e-01,-1.653450925203832469e+02,-3.176890989853094283e+01
4.700000000000000289e-01,1.843940928738054552e+01,-4.351407593465858592e-01,-1.349552209228210131e+02,-1.287149702423805664e+01
4.799999999999999822e-01,1.820715236981016361e+01,-4.204561030090341323e-01,-1.100588335813374812e+02,7.759617980979671259e+00
4.899999999999999911e-01,1.798546221060025729e+01,-3.893215901818125046e-01,-9.046383269162886620e+01,2.929417528279693528e+01
5.000000000000000000e-01,1.777039784952261314e+01,-3.453671727249082446e-01,-7.587777374149008836e+01,5.098193928342269032e+01
5.100000000000000089e-01,1.755908058294627239e+01,-2.922541544196048391e-01,-6.592534912071860731e+01,7.216258119195354936e+01
5.200000000000000178e-01,1.734959153231322304e+01,-2.335240247390478197e-01,-6.016644897667976011e+01,9.227235426512162064e+01
5.300000000000000266e-01,1.714085588064060772e+01,-1.724731491684657614e-01,-5.811425988629013517e+01,1.108476292909659975e+02
5.400000000000000355e-01,1.693251826356679146e+01,-1.120537650967353971e-01,-5.925289805984579061e+01,1.275254429111551673e+02
5.500000000000000444e-01,1.672481367892206805e+01,-5.480101949909276654e-02,-6.305412252146091134e+01,1.420412866826773097e+02
5.600000000000000533e-01,1.651843804144127859e+01,-2.785120613367311673e-03,-6.899273286840862340e+01,1.542244286303375702e+02
5.700000000000000622e-01,1.631442217068504164e+01,4.241292185123994585e-02,-7.656032342423921477e+01,1.639911101398914184e+02
5.799999999999999600e-01,1.611401257641074380e+01,7.970401026307050163e-02,-8.527713836317313678e+01,1.713359985494476803e+02
5.899999999999999689e-01,1.591856191414113653e+01,1.084745935167954756e-01,-9.470184814449854116e+01,1.763222993414846371e+02
5.999999999999999778e-01,1.572943144321303777e+01,1.285540147385275389e-01,-1.044391438411936406e+02,1.790709415033251162e+02
6.099999999999999867e-01,1.554790724932166945e+01,1.401685860447860477e-01,-1.141451202781752414e+02,1.797492459265876050e+02
6.199999999999999956e-01,1.537513141254834181e+01,1.438855211472827023e-01,-1.235304891012494295e+02,1.785594705678468017e+02
6.300000000000000044e-01,1.521204872840235289e+01,1.405498717705688239e-01,-1.323617270165281639e+02,1.757275987525920300e+02
6.400000000000000133e-01,1.505936904062243187e+01,1.312175328850351541e-01,-1.404603208113946664e+02,1.714927000211486927e+02
6.500000000000000222e-01,1.491754473575629980e+01,1.170872130430685581e-01,-1.477003180719396767e+02,1.660971480620892748e+02
6.600000000000000311e-01,1.478676249415812904e+01,9.943402034874732065e-02,-1.540044297944688765e+02,1.597779294851024190e+02
6.700000000000000400e-01,1.466694800088144213e+01,7.954700435260343705e-02,-1.593389577756994129e+02,1.527592224652603079e+02
6.800000000000000488e-01,1.455778200122531096e+01,5.867263336824155712e-02,-1.637078355618745888e+02,1.452463676719609680e+02
6.900000000000000577e-01,1.445872584486820500e+01,3.796579013138452752e-02,-1.671460770111237650e+02,1.374212973524768131e+02
7.000000000000000666e-01,1.436905450223748382e+01,1.844945146903948646e-02,-1.697129216867278956e+02,1.294394338291736233e+02
7.099999999999999645e-01,1.428789495689827937e+01,9.837946452495751996e-04,-1.714849521680841349e+02,1.214280176756727343e+02
7.199999999999999734e-01,1.421426787557333427e+01,-1.375494142240856442e-02,-1.725494360197217532e+02,1.134857799251248878e+02
7.299999999999999822e-01,1.414713052779790381e+01,-2.528590463875044630e-02,-1.729981158869141780e+02,1.056838330405392696e+02
7.399999999999999911e-01,1.408541906293742052e+01,-3.332581178353844625e-02,-1.729216364358418900e+02,9.806762296558162006e+01
7.500000000000000000e-01,1.402808844435189783e+01,-3.778260397513281271e-02,-1.724047581720416247e+02,9.065975999713457156e+01
7.600000000000000089e-01,1.397414857850763958e+01,-3.874158004796843247e-02,-1.715224671384502813e+02,8.346352979607983968e+01
7.700000000000000178e-01,1.392269544948043425e+01,-3.644522001114434973e-02,-1.703370476827577704e+02,7.646687759941960394e+01
7.800000000000000266e-01,1.387293636470343827e+01,-3.126805797026876999e-02,-1.688961443924127366e+02,6.964665835163667396e+01
7.900000000000000355e-01,1.382420872402477130e+01,-2.368804948634043589e-02,-1.672318003062384264e+02,6.297295251535116734e+01
8.000000000000000444e-01,1.377599202950428570e+01,-1.425590334830241675e-02,-1.653604228469433508e+02,5.641326100556078416e+01
8.100000000000000533e-01,1.372791314694364218e+01,-3.563815238393002512e-03,-1.632835976089222356e+02,4.993641208720504920e+01
8.200000000000000622e-01,1.367974510199716498e+01,7.785044288115668121e-03,-1.609896439930418239e+02,4.351603710955225779e+01
8.300000000000000711e-01,1.363139993527704874e+01,1.920506618135311289e-02,-1.584557862833465549e+02,3.713349945414409348e+01
8.399999999999999689e-01,1.358291634513650514e+01,3.015371163305920546e-02,-1.556507994481379455e+02,3.078019082812953755e+01
8.499999999999999778e-01,1.353444300852079074e+01,4.015313998731116774e-02,-1.525379808197555462e+02,2.445913982160147526e+01
8.599999999999999867e-01,1.348621858598982470e+01,4.880732162212619157e-02,-1.490782967360837290e+02,1.818590828713753282e+01
8.699999999999999956e-01,1.343854948518311865e+01,5.581423119031509589e-02,-1.452335568753876203e+02,1.198878049443509397e+01
8.800000000000000044e-01,1.339178647790083865e+01,6.097294739437219419e-02,-1.409694778630586427e+02,5.908277180949088603e+00
8.900000000000000133e-01,1.334630124163943066e+01,6.418570849782664900e-02,-1.362585110982883805e+02,-3.949276505033124524e-03
9.000000000000000222e-01,1.330246383045220959e+01,6.545517986241997099e-02,-1.310823268443255643e+02,-5.686761975235123501e+00
9.100000000000000311e-01,1.326062197738911763e+01,6.487737379636998591e-02,-1.254338665677433511e+02,-1.107163614802841600e+01
9.200000000000000400e-01,1.322108299761780792e+01,6.263081700282352449e-02,-1.193188973738047736e+02,-1.608510102087636184e+01
9.300000000000000488e-01,1.318409890460182510e+01,5.896268243751510291e-02,-1.127570252311800232e+02,-2.065141554672165825e+01
9.400000000000000577e-01,1.314985517892408140e+01,5.417268744113731826e-02,-1.057821466007784750e+02,-2.469536430848885189e+01
9.500000000000000666e-01,1.311846344825161204e+01,4.859560718181529099e-02,-9.844234022957759578e+01,-2.814506185207503108e+01
9.599999999999999645e-01,1.308995815523952011e+01,4.258326184302473061e-02,-9.079922147691959822e+01,-3.093465965597897949e+01
9.699999999999999734e-01,1.306429711521525228e+01,3.648680920811041978e-02,-8.292679995349296007e+01,-3.300685937064711339e+01
9.799999999999999822e-01,1.304136570400676831e+01,3.064011425216373041e-02,-7.490989694521975650e+01,-3.431514827307970705e+01
9.899999999999999911e-01,1.302098427416362547e+01,2.534487816040566915e-02,-6.684219167783862758e+01,-3.482568741917453536e+01
1.000000000000000000e+00,1.300291827992576188e+01,2.085809591825832018e-02,-5.882397471020696855e+01,-3.451879903860791643e+01
1.010000000000000009e+00,1.298689050128340483e+01,1.738228006310750182e-02,-5.095969252686675333e+01,-3.339001659755818707e+01
1.020000000000000018e+00,1.297259469773839591e+01,1.505874462674948976e-02,-4.335536977351330279e+01,-3.145067796585430742e+01
1.030000000000000027e+00,1.295970999399068191e+01,1.396409421657487417e-02,-3.611599471057071042e+01,-2.872805862497850882e+01
1.040000000000000036e+00,1.294791530249595546e+01,1.410991501466835919e-02,-2.934294963040987625e+01,-2.526505726683265962e+01
1.050000000000000044e+00,1.293690312018104827e+01,1.544552334721020076e-02,-2.313156156665004914e+01,-2.111945997065620872e+01
1.060000000000000053e+00,1.292639209592867822e+01,1.786349898189553906e-02,-1.756884006541416809e+01,-1.636282101609040751e+01
1.070000000000000062e+00,1.291613784812183674e+01,2.120761930310300150e-02,-1.273145858357365512e+01,-1.107900801072382535e+01
1.080000000000000071e+00,1.290594161312318633e+01,2.528272093875536322e-02,-8.684024748827820162e+00,-5.362466208322528516e+00
1.090000000000000080e+00,1.289565642100161647e+01,2.986595018330537657e-02,-5.477672784576752107e+00,6.837383926126503475e-01
1.100000000000000089e+00,1.288519061866794324e+01,3.471882447787170284e-02,-3.148999373591001572e+00,6.950035308578280890e+00
1.110000000000000098e+00,1.287450868725608721e+01,3.959951492053707944e-02,-1.719352574638512543e+00,1.332256335963007032e+01
1.120000000000000107e+00,1.286362942457712322e+01,4.427477380054618827e-02,-1.194472526476689556e+00,1.968542227251210974e+01
1.130000000000000115e+00,1.285262167957887591e+01,4.853096991033764573e-02,-1.564472916562404503e+00,2.592290629525070145e+01
1.140000000000000124e+00,1.284159792926519295e+01,5.218375533862130294e-02,-2.804143822150175325e+00,3.192166939040553686e+01
1.150000000000000133e+00,1.283070607545485764e+01,5.508596718699329542e-02,-4.873549730377590095e+00,3.757277803566175578e+01
1.159999999999999920e+00,1.282011990590523354e+01,5.713346210168284561e-02,-7.718891407724049358e+00,4.277361483258917474e+01
1.169999999999999929e+00,1.281002870944277205e+01,5.826868609682660932e-02,-1.127359683139021129e+01,4.742960363207256336e+01
1.179999999999999938e+00,1.280062655658487181e+01,5.848189200242336072e-02,-1.545960455228562225e+01,5.145573437490562441e+01
1.189999999999999947e+00,1.279210175548669071e+01,5.781002705645867101e-02,-2.018880250001557286e+01,5.477787300167576490e+01
1.199999999999999956e+00,1.278462696868960968e+01,5.633341886172398005e-02,-2.536458617650660585e+01,5.733384833911773626e+01
1.209999999999999964e+00,1.277835043082298228e+01,5.417048465818344316e-02,-3.088350218543273584e+01,5.907431360992800506e+01
1.219999999999999973e+00,1.277338864370440952e+01,5.147077263985679052e-02,-3.663694584941733012e+01,5.996338499230004970e+01
1.229999999999999982e+00,1.276982084650500937e+01,4.840671155460614383e-02,-4.251288500240866597e+01,5.997906339271725074e+01
1.239999999999999991e+00,1.276768546866919607e+01,4.516449353302388892e-02,-4.839758563817549941e+01,5.911344827452001738e+01
1.250000000000000000e+00,1.276697867636204720e+01,4.193454334193558869e-02,-5.417731869013788781e+01,5.737275405037815545e+01
1.260000000000000009e+00,1.276765502382096429e+01,3.890203431750044460e-02,-5.974003058298890068e+01,5.477714029866194778e+01
1.270000000000000018e+00,1.276963012357228600e+01,3.623789730587997915e-02,-6.497696314109613525e+01,5.136036704710088685e+01
1.280000000000000027e+00,1.277278515831469008e+01,3.409073513982982528e-02,-6.978421081707354290e+01,4.716928576223550351e+01
1.290000000000000036e+00,1.277697297627716466e+01,3.258000345982026147e-02,-7.406420492238686393e+01,4.226317569303935784e+01
1.300000000000000044e+00,1.278202544441617761e+01,3.179075174516271529e-02,-7.772711556085569384e+01,3.671293405489802808e+01
1.310000000000000053e+00,1.278776168264513302e+01,3.177013956072498313e-02,-8.069216229990496458e+01,3.060012741648065315e+01
1.320000000000000062e+00,1.279399676934669827e+01,3.252585601369569618e-02,-8.288882432882061835e+01,2.401591076284298509e+01
1.330000000000000071e+00,1.280055049482417573e+01,3.402647930570543849e-02,-8.425794005900131367e+01,1.705982022351890492e+01
1.340000000000000080e+00,1.280725574534877964e+01,3.620372221942384089e-02,-8.475268496690651432e+01,9.838445509506062336e+00
1.350000000000000089e+00,1.281396612543516689e+01,3.895642248129405766e-02,-8.433941514303370468e+01,2.463988790547700258e+00
1.360000000000000098e+00,1.282056246847963443e+01,4.215605803067073998e-02,-8.299836268426571451e+01,-4.947281890821333405e+00
1.370000000000000107e+00,1.282695794372223830e+01,4.565349972092023340e-02,-8.072416795284622992e+01,-1.227667453415112853e+01
1.380000000000000115e+00,1.283310153779929230e+01,4.928666074720464141e-02,-7.752623301798702471e+01,-1.940479763453856776e+01
1.390000000000000124e+00,1.283897976857516277e+01,5.288866532777199841e-02,-7.342888047375406302e+01,-2.621335121196705842e+01
1.400000000000000133e+00,1.284461657376308885e+01,5.629614029148203441e-02,-6.847130244024714329e+01,-3.258696490914432076e+01
1.409999999999999920e+00,1.285007140315054563e+01,5.935723285616607836e-02,-6.270728601882816378e+01,-3.841505991252815733e+01
1.419999999999999929e+00,1.285543562710573262e+01,6.193897580327863139e-02,-5.620470385749664644e+01,-4.359370772530343174e+01
1.429999999999999938e+00,1.286082745168201491e+01,6.393365642963677598e-02,-4.904476181228041298e+01,-4.802745532825230157e+01
1.439999999999999947e+00,1.286638559859923703e+01,6.526389629507170498e-02,-4.132099993627558376e+01,-5.163108323075194050e+01
1.449999999999999956e+00,1.287226206367739678e+01,6.588621241749850754e-02,-3.313804810989073246e+01,-5.433126055889314898e+01
1.459999999999999964e+00,1.287861430753751435e+01,6.579290416837457744e-02,-2.461014341473240563e+01,-5.606805985252938740e+01
1.469999999999999973e+00,1.288559725587139582e+01,6.501219024546499303e-02,-1.585942267544412942e+01,-5.679629382116094405e+01
1.479999999999999982e+00,1.289335549239025092e+01,6.360660303451222408e-02,-7.014010236631351702e+00,-5.648663707545591706e+01
1.489999999999999991e+00,1.290201601556561783e+01,6.166972960800919112e-02,1.794072235925002312e+00,-5.512649789698142655e+01
1.500000000000000000e+00,1.291168190115342185e+01,5.932146581004608954e-02,1.043114060044981350e+01,-5.272060847214289936e+01
