# eV,ground_re,ground_im,pumped_re,pumped_im
1.229999999999999982e+00,1.367024909674858080e+01,2.452570084971546771e-01,8.553892168964250686e+01,-4.367655612313301106e+01
1.239999999999999991e+00,1.349352555585044477e+01,2.717587920986149763e-01,9.041994077170500077e+01,-3.382401734076377409e+01
1.250000000000000000e+00,1.330845843990040223e+01,2.716971118343603497e-01,9.379190816727368940e+01,-2.346138403769936076e+01
1.260000000000000009e+00,1.312362882424595867e+01,2.437882093650910742e-01,9.560303051119771567e+01,-1.287182004771086774e+01
1.270000000000000018e+00,1.294777579905240117e+01,1.895908657098923367e-01,9.585925175790437436e+01,-2.338253124013222717e+00
1.280000000000000027e+00,1.278888302402573807e+01,1.134809234123047017e-01,9.462172855979554242e+01,7.868753062145449562e+00
1.290000000000000036e+00,1.265329786716618443e+01,2.233624235749200743e-02,9.200170111073131807e+01,1.750204559614862987e+01
1.300000000000000044e+00,1.254497387106150441e+01,-7.504993486844327433e-02,8.815311112991074083e+01,2.634727134157112260e+01
1.310000000000000053e+00,1.246491925680647128e+01,-1.687811357378299071e-01,8.326345184051122317e+01,3.423013517156951480e+01
1.320000000000000062e+00,1.241091755101208882e+01,-2.488244086127433252e-01,7.754343891089499152e+01,4.102119003290283672e+01
1.330000000000000071e+00,1.237756244304478059e+01,-3.060417454661186198e-01,7.121615789037647914e+01,4.663798165229854220e+01
1.340000000000000080e+00,1.235661965675735985e+01,-3.331852260400531285e-01,6.450636653004022492e+01,5.104454482529416737e+01
1.350000000000000089e+00,1.233769657377635909e+01,-3.257533522006592075e-01,5.763060637481459025e+01,5.424842416760357366e+01
1.360000000000000098e+00,1.230916857954154509e+01,-2.826145163462680521e-01,5.078870744756383715e+01,5.629555706015806749e+01
1.370000000000000107e+00,1.225928273787618750e+01,-2.063217453718096672e-01,4.415715666847012955e+01,5.726349763370658508e+01
1.380000000000000115e+00,1.217733737325743171e+01,-1.030694923513056638e-01,3.788465234331209075e+01,5.725356667934197930e+01
1.390000000000000124e+00,1.205482292015885726e+01,1.772385389577922632e-02,3.208999419225476402e+01,5.638257431865584834e+01
1.400000000000000133e+00,1.188640672606140392e+01,1.441877809969150936e-01,2.686227393234019090e+01,5.477477428677798343e+01
1.409999999999999920e+00,1.167065318166762111e+01,2.630694878150705018e-01,2.226314973595791358e+01,5.255466875852736308e+01
