# eV,ground_re,ground_im,pumped_re,pumped_im
1.000000000000000021e-02,1.782050098764001405e+02,-2.103254716159166037e+03,6.935946781301908231e+03,-1.610953444747487811e+04
2.000000000000000042e-02,1.768143221941499519e+02,-1.036956259914725024e+03,6.810956958149933598e+03,-7.059955644083445804e+03
2.999999999999999889e-02,1.745216833168605319e+02,-6.752466077308525882e+02,6.605731714525193638e+03,-3.627538621079364475e+03
4.000000000000000083e-02,1.713642070010719465e+02,-4.899523170961988399e+02,6.324813352417264468e+03,-1.628136419059195532e+03
5.000000000000000278e-02,1.673925786240129412e+02,-3.755151706107956784e+02,5.974375633019348243e+03,-2.328526059575324609e+02
5.999999999999999778e-02,1.626698281319378623e+02,-2.968053841834791342e+02,5.562045931189978546e+03,8.289963772967269051e+02
7.000000000000000666e-02,1.572698174460269058e+02,-2.388077966686661284e+02,5.096687130634743880e+03,1.669638676300893394e+03
8.000000000000000167e-02,1.512754879379535566e+02,-1.940424306577588140e+02,4.588146618613661303e+03,2.342906484059812556e+03
8.999999999999999667e-02,1.447769203535218878e+02,-1.583707197712278116e+02,4.046980784490433052e+03,2.877657936263646661e+03
1.000000000000000056e-01,1.378692645143514994e+02,-1.293176791861348818e+02,3.484164156582203304e+03,3.291171228994869125e+03
1.100000000000000006e-01,1.306505991108796536e+02,-1.053091929247093930e+02,2.910792701881739504e+03,3.595222105685969836e+03
1.199999999999999956e-01,1.232197828363930654e+02,-8.529080728420397861e+01,2.337790852415374502e+03,3.799082566255367965e+03
1.300000000000000044e-01,1.156743570000835462e+02,-6.852278637339406941e+01,1.775631513462549037e+03,3.911072698748492712e+03
1.400000000000000133e-01,1.081085566722650810e+02,-5.446345297928688467e+01,1.234077669591726817e+03,3.939367869067338688e+03
1.499999999999999944e-01,1.006114825043395058e+02,-4.269973949374857369e+01,7.219532643893840032e+02,3.892392469277109740e+03
1.600000000000000033e-01,9.326547884278777190e+01,-3.290438883458003261e+01,2.469498303206448497e+02,3.778969716520197380e+03
1.700000000000000122e-01,8.614475588946139339e+01,-2.480889651545357211e+01,-1.845260625567618717e+02,3.608321304107660126e+03
1.799999999999999933e-01,7.931428476338079747e+01,-1.818610881578219107e+01,-5.674610278526890852e+02,3.389973064935979892e+03
1.900000000000000022e-01,7.282898473712322129e+01,-1.283893014008163469e+01,-8.982968870269538684e+02,3.133603011170263017e+03
2.000000000000000111e-01,6.673321201592415264e+01,-8.592988938646517028e+00,-1.174946294772031706e+03,2.848857073567435236e+03
2.099999999999999922e-01,6.106054956458875438e+01,-5.291910620364343565e+00,-1.396763385707259431e+03,2.545151260147033099e+03
2.200000000000000011e-01,5.583388801913475419e+01,-2.794319969898907630e+00,-1.564472379455566397e+03,2.231474643669529087e+03
2.300000000000000100e-01,5.106577897419330725e+01,-9.719866264964898139e-01,-1.680058437694621034e+03,1.916204472964072920e+03
2.399999999999999911e-01,4.675903420327958315e+01,2.912880465526216378e-01,-1.746626215276831090e+03,1.606942214177667438e+03
2.500000000000000000e-01,4.290753788865750096e+01,1.100323022459078981e+00,-1.768232450189323117e+03,1.310377171143724809e+03
2.600000000000000089e-01,3.949723389594164757e+01,1.548946413103638120e+00,-1.749699567261180164e+03,1.032182366593567394e+03
2.700000000000000178e-01,3.650724664917413520e+01,1.720260731755022920e+00,-1.696417613309771923e+03,7.769455290077685277e+02
2.800000000000000266e-01,3.391109230350166825e+01,1.686882034834356281e+00,-1.614141894218089874e+03,5.481363115006789712e+02
2.899999999999999800e-01,3.167793666848950096e+01,1.511218621284956543e+00,-1.508793456536497615e+03,3.481092825219183169e+02
