# eV,ground_re,ground_im,pumped_re,pumped_im
1.000000000000000021e-02,2.394271825855092857e+02,-3.445212013088357253e+03,1.394859031649695453e+03,7.852644132389264996e+03
2.000000000000000042e-02,2.381659102969739763e+02,-1.706260138846366999e+03,1.372420178845064356e+03,4.129335044218807525e+03
2.999999999999999889e-02,2.360784619551292849e+02,-1.119523314500202787e+03,1.335420992956719374e+03,2.974429433774883364e+03
4.000000000000000083e-02,2.331866180229527004e+02,-8.210384842789484310e+02,1.284451369403629087e+03,2.457177194323121967e+03
5.000000000000000278e-02,2.295204195906913753e+02,-6.380721550176443770e+02,1.220320450244708127e+03,2.190142047347672815e+03
5.999999999999999778e-02,2.251177259303891560e+02,-5.130922565339657240e+02,1.144040383202931935e+03,2.043216798437369107e+03
7.000000000000000666e-02,2.200236584883623152e+02,-4.214776608221186507e+02,1.056806098818673945e+03,1.959933412006596882e+03
8.000000000000000167e-02,2.142899406638680375e+02,-3.509449789602585383e+02,9.599715757981850857e+02,1.911556977684072308e+03
8.999999999999999667e-02,2.079741444815139459e+02,-2.946903822929675130e+02,8.550231435409392589e+02,1.881795273734364173e+03
1.000000000000000056e-01,2.011388568391780041e+02,-2.486460057913129447e+02,7.435504355642344763e+02,1.860689980508475401e+03
1.100000000000000006e-01,1.938507793740834586e+02,-2.102326375354641073e+02,6.272156565065635050e+02,1.841843744545481286e+03
1.199999999999999956e-01,1.861797771116854108e+02,-1.777359332867152659e+02,5.077218574361671131e+02,1.821034412801438066e+03
1.300000000000000044e-01,1.781978919229552218e+02,-1.499704813405131745e+02,3.867809286422798891e+02,1.795466947391760186e+03
1.400000000000000133e-01,1.699783373970240348e+02,-1.260878579266489083e+02,2.660820157548057523e+02,1.763341884929214075e+03
1.499999999999999944e-01,1.615944920237371036e+02,-1.054615380808167941e+02,1.472610442217287812e+02,1.723590609767829847e+03
1.600000000000000033e-01,1.531189075649687084e+02,-8.761509266026017428e+01,3.187199964483377101e+01,1.675702755573396189e+03
1.700000000000000122e-01,1.446223491701300077e+02,-7.217589663294891977e+01,-7.863944154783614238e+01,1.619606411255078683e+03
1.799999999999999933e-01,1.361728831612778094e+02,-5.884446992322703096e+01,-1.829594035041562279e+02,1.555579524982816565e+03
1.900000000000000022e-01,1.278350274834394753e+02,-4.737372701954758725e+01,-2.799259756128715253e+02,1.484180252560656982e+03
2.000000000000000111e-01,1.196689785990426174e+02,-3.755469594713109416e+01,-3.685456900086719543e+02,1.406189158533764839e+03
2.099999999999999922e-01,1.117299271205081368e+02,-2.920657191278522546e+01,-4.480060469974991975e+02,1.322559137577216916e+03
2.200000000000000011e-01,1.040674727469783818e+02,-2.216974137496852038e+01,-5.176839234497333564e+02,1.234370673518366630e+03
2.300000000000000100e-01,9.672514713037351441e+01,-1.630088089502157445e+01,-5.771498009210478131e+02,1.142791112240404345e+03
2.399999999999999911e-01,8.974005117851082503e+01,-1.146952778897655989e+01,-6.261678510043691404e+02,1.049037273835494034e+03
2.500000000000000000e-01,8.314261104973195415e+01,-7.555706838066223341e+00,-6.646920125632148029e+02,9.543411266531796855e+02
2.600000000000000089e-01,7.695645474942521957e+01,-4.448319816509193281e+00,-6.928582865762939491e+02,8.599184830974242004e+02
2.700000000000000178e-01,7.119840885238198780e+01,-2.044086469357773606e+00,-7.109735570906692601e+02,7.669408093329678877e+02
2.800000000000000266e-01,6.587861249683226106e+01,-2.468814585619618363e-01,-7.195013192755696991e+02,6.765103028388192570e+02
2.899999999999999800e-01,6.100074347821949772e+01,1.032649228244760575e+00,-7.190447561650004218e+02,5.896384052531956286e+02
2.999999999999999889e-01,5.656234906527474493e+01,1.877281102487908804e+00,-7.103276531212846976e+02,5.072278982320888758e+02
3.099999999999999978e-01,5.255527211841683766e+01,2.363281594166555699e+00,-6.941736724896519490e+02,4.300586877255747140e+02
3.200000000000000067e-01,4.896616125900425942e+01,2.560411157310113595e+00,-6.714845299055454007e+02,3.587773250232581859e+02
3.300000000000000155e-01,4.577705226161928920e+01,2.531896357479315185e+00,-6.432176182359357881e+02,2.938902471855243448e+02
3.400000000000000244e-01,4.296600655925762879e+01,2.334406859718736182e+00,-6.103636155618232806e+02,2.357606498744340797e+02
