# eV,ground_re,ground_im,pumped_re,pumped_im
3.099999999999999978e-01,4.698346970176671533e+01,1.828584284219736844e+00,-8.946386301708107567e+02,1.965557498379699553e+02
3.200000000000000067e-01,4.430151539281789752e+01,1.202926554430949979e+00,-8.168701492907716784e+02,1.113806753264572933e+02
3.300000000000000155e-01,4.205106366880969659e+01,6.021481412900513419e-01,-7.355937060852771765e+02,4.304649552673600255e+01
3.400000000000000244e-01,4.016429313880729524e+01,6.284975352610365495e-02,-6.534354835909922485e+02,-9.244647137256864156e+00
3.500000000000000333e-01,3.857755416295422890e+01,-3.909723619329639743e-01,-5.727144245800619728e+02,-4.663346168809426473e+01
3.599999999999999867e-01,3.723254981173961653e+01,-7.461441611729057177e-01,-4.954069274042371376e+02,-7.053131117330363509e+01
3.699999999999999956e-01,3.607719638605720291e+01,-9.984972617349880952e-01,-4.231259692628203197e+02,-8.254632106902958810e+01
3.800000000000000044e-01,3.506616856474012422e+01,-1.151069938780177271e+00,-3.571141715647451065e+02,-8.441047099034877021e+01
3.900000000000000133e-01,3.416114546839921218e+01,-1.212374878876313788e+00,-2.982498455320327935e+02,-7.791011837644626326e+01
4.000000000000000222e-01,3.333078358675554398e+01,-1.194777939625857544e+00,-2.470646480389937381e+02,-6.482209356994496829e+01
4.100000000000000311e-01,3.255045032250660597e+01,-1.113025351548756703e+00,-2.037711502050063359e+02,-4.685713341731420911e+01
4.199999999999999845e-01,3.180175766763628076e+01,-9.829486844390601386e-01,-1.682983827745474343e+02,-2.561200418293152836e+01
4.299999999999999933e-01,3.107193915907557624e+01,-8.203680148195272581e-01,-1.403332769917482779e+02,-2.531223936765981897e+00
4.400000000000000022e-01,3.035311477091803667e+01,-6.402045825698433612e-01,-1.193658675515889485e+02,2.112115073527408171e+01
4.500000000000000111e-01,2.964148789504502091e+01,-4.558052829137407835e-01,-1.047361614144766691e+02,4.427964016753613663e+01
4.600000000000000200e-01,2.893651622971711035e+01,-2.784730201954194739e-01,-9.568069538898933502e+01,6.608572601770055144e+01
4.700000000000000289e-01,2.824009449497881974e+01,-1.171896005130374369e-01,-9.137699596563373916e+01,8.588722620245316364e+01
4.799999999999999822e-01,2.755578173659201013e+01,2.148826772011358174e-02,-9.098440405034658340e+01,1.032296792744737246e+02
4.899999999999999911e-01,2.688809991389407372e+01,1.333839755473742450e-01,-9.368002040366020822e+01,1.178409884915393206e+02
5.000000000000000000e-01,2.624192385502124125e+01,2.165342772610854283e-01,-9.868884915571771899e+01,1.296107359653894946e+02
5.100000000000000089e-01,2.562197586644635905e+01,2.709296786190019124e-01,-1.053075509095935303e+02,1.385656644344955453e+02
5.200000000000000178e-01,2.503243164380736729e+01,2.981909299681246850e-01,-1.129215483067866899e+02,1.448428399143749630e+02
5.300000000000000266e-01,2.447663795292876898e+01,3.012093701528377188e-01,-1.210155412766534653e+02,1.486619573204593792e+02
5.400000000000000355e-01,2.395693709054070197e+01,2.837764696808971476e-01,-1.291777739890280827e+02,1.502981403693896709e+02
5.500000000000000444e-01,2.347458859197582370e+01,2.502245951202622387e-01,-1.370986403965695217e+02,1.500564260553264546e+02
5.600000000000000533e-01,2.302977516220580512e+01,2.050970231103727004e-01,-1.445644123050685721e+02,1.482489237931137325e+02
5.700000000000000622e-01,2.262167743439343326e+01,1.528608459907833395e-01,-1.514470179589565362e+02,1.451754119582260500e+02
5.799999999999999600e-01,2.224860090878305385e+01,9.767190279892307148e-02,-1.576908877549170427e+02,1.411078924730651067e+02
5.899999999999999689e-01,2.190813823578855590e+01,4.319649232291822988e-02,-1.632979171807774037e+02,1.362793795331796218e+02
5.999999999999999778e-01,2.159735076941831622e+01,-7.509398402171808470e-03,-1.683115782189015022e+02,1.308769630299768778e+02
6.099999999999999867e-01,2.131295487708929670e+01,-5.206610427828513299e-02,-1.728011442774322006e+02,1.250389709700018699e+02
6.199999999999999956e-01,2.105150066535048836e+01,-8.878710259856684162e-02,-1.768468870896765281e+02,1.188558668451312599e+02
6.300000000000000044e-01,2.080953336648529373e+01,-1.166542802666878792e-01,-1.805269652260823250e+02,1.123743641745867876e+02
6.400000000000000133e-01,2.058373042248476281e+01,-1.352605666019095487e-01,-1.839065620904128195e+02,1.056041259029756532e+02
6.500000000000000222e-01,2.037101010280573377e+01,-1.447293703902951256e-01,-1.870296561427931863e+02,9.852634338973322770e+01
6.600000000000000311e-01,2.016861012250951646e+01,-1.456200821906273868e-01,-1.899136271674213106e+02,9.110345859495382115e+01
6.700000000000000400e-01,1.997413703860805256e+01,-1.388281300650338335e-01,-1.925467287284877784e+02,8.328930195890450250e+01
6.800000000000000488e-01,1.978558908146592543e+01,-1.254868390826338609e-01,-1.948882966677273032e+02,7.503896378842284776e+01
6.900000000000000577e-01,1.960135645199350662e+01,-1.068767897051793175e-01,-1.968714234809799279e+02,6.631779359639114091e+01
7.000000000000000666e-01,1.942020395305163660e+01,-8.434665142771025081e-02,-1.984077140665069692e+02,5.710902352662964176e+01
7.099999999999999645e-01,1.924124113454226048e+01,-5.924773536521026757e-02,-1.993936534086226686e+02,4.741963169838979297e+01
7.199999999999999734e-01,1.906388496249417486e+01,-3.288289821839807808e-02,-1.997180632675278673e+02,3.728419160802510390e+01
7.299999999999999822e-01,1.888781945028733844e+01,-6.469053111044955999e-03,-1.992701032073612453e+02,2.676658722919759370e+01
7.399999999999999911e-01,1.871295581530348784e+01,1.888851573687478844e-02,-1.979472800246361714e+02,1.595960313250930795e+01
7.500000000000000000e-01,1.853939566123191085e+01,4.221252635536570930e-02,-1.956629661254892483e+02,4.982518473973522433e+00
7.600000000000000089e-01,1.836739855427169843e+01,6.266355439405706107e-02,-1.923529877348145192e+02,-6.023062284124134358e+00
7.700000000000000178e-01,1.819735427534770977e+01,7.954609640417482919e-02,-1.879809231779286449e+02,-1.689882475633178771e+01
7.800000000000000266e-01,1.802975909198591609e+01,9.231317502543925912e-02,-1.825418444172174759e+02,-2.747642727843517108e+01
7.900000000000000355e-01,1.786519468427825075e+01,1.005711756358933923e-01,-1.760643358151020834e+02,-3.758483447102962316e+01
8.000000000000000444e-01,1.770430793538841030e+01,1.040857961358958306e-01,-1.686107270037421983e+02,-4.705787228573935010e+01
8.100000000000000533e-01,1.754778968534045447e+01,1.027891191465620524e-01,-1.602755763419140180e+02,-5.574158538214645375e+01
8.200000000000000622e-01,1.739635074442448825e+01,9.678697936595848095e-02,-1.511825328518947060e+02,-6.350100920836312213e+01
8.300000000000000711e-01,1.725069393772621851e+01,8.636509158661294372e-02,-1.414797836340386255e+02,-7.022601885783808484e+01
8.399999999999999689e-01,1.711148164796976090e+01,7.199190587609162473e-02,-1.313343573482623867e+02,-7.583598087716124780e+01
8.499999999999999778e-01,1.697929916293594488e+01,5.431592376914420178e-02,-1.209256002364509044e+02,-8.028300846618490993e+01
8.599999999999999867e-01,1.685461502576283266e+01,3.415527567240621981e-02,-1.104381681969716880e+02,-8.355370048667360550e+01
8.699999999999999956e-01,1.673774043546573509e+01,1.247772965508873143e-02,-1.000548865071164926e+02,-8.566932594697708225e+01
8.800000000000000044e-01,1.662879045759211039e+01,-9.630048441206188331e-03,-8.994981878427012134e+01,-8.668449397383913890e+01
8.900000000000000133e-01,1.652765029806375097e+01,-3.100428453034983350e-02,-8.028186039943517471e+01,-8.668442097778979871e+01
9.000000000000000222e-01,1.643395010153979996e+01,-5.045620108250845059e-02,-7.118913123064952231e+01,-8.578096862726543748e+01
