# eV,pumped_re,pumped_im
1.020000000000000018e+00,-1.255217704931707701e+01,-4.038755516161558035e+01
1.030000000000000027e+00,-1.506561503986172212e+01,-3.894158584585790805e+01
1.040000000000000036e+00,-1.761427289539010488e+01,-3.885544749318468405e+01
1.050000000000000044e+00,-1.988732084986866866e+01,-4.008411257616166523e+01
1.060000000000000053e+00,-2.159164290584963553e+01,-4.251812696609012932e+01
1.070000000000000062e+00,-2.246491408297030290e+01,-4.598900919596315617e+01
1.080000000000000071e+00,-2.228716274655986140e+01,-5.027724256208768594e+01
1.090000000000000080e+00,-2.089032922418618199e+01,-5.512245914408777736e+01
1.100000000000000089e+00,-1.816543090209905742e+01,-6.023533185848580018e+01
1.110000000000000098e+00,-1.406705401828191526e+01,-6.531062968934470803e+01
1.120000000000000107e+00,-8.615009437779665546e+00,-7.004085272570274867e+01
1.130000000000000115e+00,-1.893110181973280959e+00,-7.412984767079288417e+01
1.140000000000000124e+00,5.954851004718147323e+00,-7.730581095963773919e+01
1.150000000000000133e+00,1.473172856242444162e+01,-7.933311527504935157e+01
1.159999999999999920e+00,2.419594955750546461e+01,-8.002244563988905668e+01
1.169999999999999929e+00,3.407233169635296832e+01,-7.923880259534139725e+01
1.179999999999999938e+00,4.406430229286300460e+01,-7.690702089989419221e+01
1.189999999999999947e+00,5.386695938436186992e+01,-7.301456054761875691e+01
1.199999999999999956e+00,6.318037153679720319e+01,-6.761144953271067948e+01
1.209999999999999964e+00,7.172249446155103669e+01,-6.080739034258785836e+01
1.219999999999999973e+00,7.924109332843717368e+01,-5.276617911809376693e+01
1.229999999999999982e+00,8.552410136003484808e+01,-4.369772118362270419e+01
1.239999999999999991e+00,9.040791809433845572e+01,-3.384805184351128560e+01
1.250000000000000000e+00,9.378325284613184465e+01,-2.348787923245954090e+01
1.260000000000000009e+00,9.559824650730799078e+01,-1.290024907044847069e+01
1.270000000000000018e+00,9.585875189590019829e+01,-2.367982720819039599e+00
1.280000000000000027e+00,9.462581144371179676e+01,7.838445206790837005e+00
1.290000000000000036e+00,9.201053161095057931e+01,1.747194841954759426e+01
1.300000000000000044e+00,8.816670559190113465e+01,2.631821363351007648e+01
1.310000000000000053e+00,8.328166898718801292e+01,3.420295552080589374e+01
1.320000000000000062e+00,7.756597717043273121e+01,4.099670475566959027e+01
1.330000000000000071e+00,7.124255959031262364e+01,4.661695213337449673e+01
1.340000000000000080e+00,6.453602907023071111e+01,5.102764579790987653e+01
1.350000000000000089e+00,5.766280014273749543e+01,5.423621447700853793e+01
1.360000000000000098e+00,5.082259988813483886e+01,5.628845439254906324e+01
1.370000000000000107e+00,4.419184158641589022e+01,5.726175854740574778e+01
1.380000000000000115e+00,3.791918321860134711e+01,5.725727305334167028e+01
1.390000000000000124e+00,3.212342004617050861e+01,5.639162704430237483e+01
1.400000000000000133e+00,2.689367610910386119e+01,5.478889468514332606e+01
1.409999999999999920e+00,2.229167787453348382e+01,5.257340782627577624e+01
1.419999999999999929e+00,1.835572906872534560e+01,4.986394811487198808e+01
1.429999999999999938e+00,1.510587261939791404e+01,4.676971414802213900e+01
1.439999999999999947e+00,1.254963517518150695e+01,4.338829262312810187e+01
1.449999999999999956e+00,1.068771022105078217e+01,3.980567556632590964e+01
1.459999999999999964e+00,9.518951733300726303e+00,3.609817384212650637e+01
1.469999999999999973e+00,9.044121462056574856e+00,3.233589637285451346e+01
1.479999999999999982e+00,9.267954489043724209e+00,2.858731046144777821e+01
1.489999999999999991e+00,1.019927048463135044e+01,2.492428514267449913e+01
1.500000000000000000e+00,1.184904913025653350e+01,2.142695737387768773e+01
1.510000000000000009e+00,1.422659176194398789e+01,1.818775685827506194e+01
1.520000000000000018e+00,1.733409019324651013e+01,1.531398137416924321e+01
1.530000000000000027e+00,2.116010055846592053e+01,1.292842761862993584e+01
1.540000000000000036e+00,2.567255891386057698e+01,1.116774478960472017e+01
1.550000000000000044e+00,3.081206303687820736e+01,1.017837705838347873e+01
1.560000000000000053e+00,3.648617211032453866e+01,1.011018089038158330e+01
1.570000000000000062e+00,4.256543834260057224e+01,1.110802579868294160e+01
1.580000000000000071e+00,4.888178296110463350e+01,1.330189374306338479e+01
1.590000000000000080e+00,5.522966971824043725e+01,1.679616499821078435e+01
1.600000000000000089e+00,6.137032335865927024e+01,2.165890121694209824e+01
1.610000000000000098e+00,6.703900387552832285e+01,2.791199760800586205e+01
1.620000000000000107e+00,7.195509827883708454e+01,3.552306840939219512e+01
1.630000000000000115e+00,7.583454997659393371e+01,4.439985142258137785e+01
1.640000000000000124e+00,7.840393160128728312e+01,5.438777227685181259e+01
1.650000000000000133e+00,7.941529833860302290e+01,6.527110683993392115e+01
1.660000000000000142e+00,7.866085042162183072e+01,7.677793516068410895e+01
1.669999999999999929e+00,7.598639580555831685e+01,8.858881066934229409e+01
1.679999999999999938e+00,7.130264205609692851e+01,1.003487945782781594e+02
1.689999999999999947e+00,6.459345916181949576e+01,1.116822487643071753e+02
1.699999999999999956e+00,5.592043537975030887e+01,1.222095611507227630e+02
1.709999999999999964e+00,4.542328395207810843e+01,1.315648134155316598e+02
1.719999999999999973e+00,3.331593267589059337e+01,1.394133053552241677e+02
1.729999999999999982e+00,1.987842072652159686e+01,1.454678318782279121e+02
1.739999999999999991e+00,5.445016035029174084e+00,1.495026699453917445e+02
1.750000000000000000e+00,-9.610769835404594730e+00,1.513643702372630173e+02
1.760000000000000009e+00,-2.489337394768978839e+01,1.509786524423264495e+02
1.770000000000000018e+00,-4.000352944076853134e+01,1.483529591912389662e+02
1.780000000000000027e+00,-5.455663346679070713e+01,1.435745131383994533e+02
1.790000000000000036e+00,-6.819999834387620297e+01,1.368040232609080817e+02
1.800000000000000044e+00,-8.062792657918687667e+01,1.282654779260833209e+02
1.810000000000000053e+00,-9.159370304827918119e+01,1.182327222873229431e+02
1.820000000000000062e+00,-1.009178135507993233e+02,1.070137271640822689e+02
1.830000000000000071e+00,-1.084919620971457448e+02,9.493360069520447553e+01
1.840000000000000080e+00,-1.142787500883312077e+02,8.231746269261395810e+01
1.850000000000000089e+00,-1.183071776096936958e+02,6.947429046971622313e+01
1.860000000000000098e+00,-1.206644087119340440e+02,5.668275568253234553e+01
1.870000000000000107e+00,-1.214844885653171502e+02,4.417991190123339607e+01
1.880000000000000115e+00,-1.209348934509724387e+02,3.215337486014013280e+01
1.890000000000000124e+00,-1.192019216086540183e+02,2.073737834009419245e+01
1.900000000000000133e+00,-1.164759860240177005e+02,1.001280788989679849e+01
1.910000000000000142e+00,-1.129378469589458831e+02,1.103278356145176962e-02
1.919999999999999929e+00,-1.087467257243842909e+02,-9.278905940588057177e+00
1.929999999999999938e+00,-1.040310804691783915e+02,-1.790041837087327181e+01
1.939999999999999947e+00,-9.888261271432949684e+01,-2.591763850906384548e+01
1.949999999999999956e+00,-9.335382649848477854e+01,-3.340279402831249200e+01
1.959999999999999964e+00,-8.745919887786537572e+01,-4.042365836154870351e+01
1.969999999999999973e+00,-8.117976031763032552e+01,-4.703203820340541341e+01
1.979999999999999982e+00,-7.447064456871775917e+01,-5.325415105933035420e+01
1.989999999999999991e+00,-6.727096613613917953e+01,-5.908359185229369359e+01
2.000000000000000000e+00,-5.951523233757488640e+01,-6.447738757173206636e+01
2.010000000000000231e+00,-5.114540506947507481e+01,-6.935540997290108578e+01
2.020000000000000018e+00,-4.212269903400729021e+01,-7.360317529454418661e+01
2.030000000000000249e+00,-3.243823796952582939e+01,-7.707782388543634511e+01
2.040000000000000036e+00,-2.212178359956774543e+01,-7.961685744157861677e+01
2.049999999999999822e+00,-1.124789496394577348e+01,-8.104903098767755409e+01
2.060000000000000053e+00,6.094309822309218472e-02,-8.120666146068035118e+01
2.069999999999999840e+00,1.163447790957993710e+01,-7.993853179423270205e+01
2.080000000000000071e+00,2.325817334675408077e+01,-7.712254186064201633e+01
2.089999999999999858e+00,3.467984945983092615e+01,-7.267728470829013077e+01
2.100000000000000089e+00,4.561911257910355744e+01,-6.657180387011999301e+01
2.109999999999999876e+00,5.577904653385006384e+01,-5.883290772967099969e+01
2.120000000000000107e+00,6.485950850590039352e+01,-4.954957035211595695e+01
2.129999999999999893e+00,7.257128911308710428e+01,-3.887412371704672154e+01
2.140000000000000124e+00,7.865035808915614268e+01,-2.702013225696427767e+01
2.149999999999999911e+00,8.287142391935235253e+01,-1.425702560006927477e+01
2.160000000000000142e+00,8.506008484451000129e+01,-9.017390114059326001e-01
2.169999999999999929e+00,8.510293439705897356e+01,1.269223564590779496e+01
2.180000000000000160e+00,8.295510009357329295e+01,2.614785946499791791e+01
2.189999999999999947e+00,7.864483109496083557e+01,3.907899340452909343e+01
2.200000000000000178e+00,7.227490118244016060e+01,5.110559972664520956e+01
2.209999999999999964e+00,6.402074906740632798e+01,6.186899054375502516e+01
2.220000000000000195e+00,5.412543124240614389e+01,7.104642529185991862e+01
2.229999999999999982e+00,4.289160660379265977e+01,7.836439932933984664e+01
2.240000000000000213e+00,3.067090137405210726e+01,8.361003362521110205e+01
2.250000000000000000e+00,1.785111306271176090e+01,8.664006618296056672e+01
2.260000000000000231e+00,4.841800141040591754e+00,8.738705459611507820e+01
2.270000000000000018e+00,-7.941132348492715209e+00,8.586252097754247359e+01
2.280000000000000249e+00,-2.009120305726784750e+01,8.215690053286891725e+01
2.290000000000000036e+00,-3.122682028980286617e+01,7.643628851000084978e+01
2.300000000000000266e+00,-4.100579722138343186e+01,6.893611260632029314e+01
2.310000000000000053e+00,-4.913830860823471625e+01,5.995198480685025544e+01
2.319999999999999840e+00,-5.539774348963235440e+01,4.982810389055376277e+01
2.330000000000000071e+00,-5.962899237571456013e+01,3.894368346806504633e+01
2.339999999999999858e+00,-6.175381068600642465e+01,2.769796656893175779e+01
2.350000000000000089e+00,-6.177301964081971164e+01,1.649445288877431182e+01
2.359999999999999876e+00,-5.976543757520471445e+01,5.725005612505199792e+00
2.370000000000000107e+00,-5.588357414958421288e+01,-4.245481427200706648e+00
2.379999999999999893e+00,-5.034626184735709842e+01,-1.309319051956583557e+01
2.390000000000000124e+00,-4.342853752596067096e+01,-2.054763980934875889e+01
2.399999999999999911e+00,-3.544921524209988206e+01,-2.640154918038172482e+01
2.410000000000000142e+00,-2.675670357861550031e+01,-3.051786717946263749e+01
2.419999999999999929e+00,-1.771370995687559713e+01,-3.283363973651533030e+01
2.430000000000000160e+00,-8.681535265082315433e+00,-3.336054648583282756e+01
2.439999999999999947e+00,-4.689996165633036895e-03,-3.218208827538652628e+01
2.450000000000000178e+00,8.003445094999884546e+00,-2.944757229069559301e+01
2.459999999999999964e+00,1.507323622948591435e+01,-2.536320059179942277e+01
2.470000000000000195e+00,2.098909588133477655e+01,-2.018071488214296139e+01
2.479999999999999982e+00,2.559698309143894335e+01,-1.418417632222661418e+01
2.490000000000000213e+00,2.880876641192491405e+01,-7.675556311170860901e+00
2.500000000000000000e+00,3.060327405011872770e+01,-9.598759400619129023e-01
2.510000000000000231e+00,3.102403018250809907e+01,5.669346232410870989e+00
2.520000000000000018e+00,3.017385222974120396e+01,1.194359846730508856e+01
2.530000000000000249e+00,2.820665071420256353e+01,1.763115413466583448e+01
2.540000000000000036e+00,2.531692106331726322e+01,2.254654586870266897e+01
2.550000000000000266e+00,2.172753630647116907e+01,2.655729005656099062e+01
2.560000000000000053e+00,1.767653367073341997e+01,2.958757350597109692e+01
2.569999999999999840e+00,1.340363149287670375e+01,3.161878668884507348e+01
2.580000000000000071e+00,9.137213162949707979e+00,3.268696504663277125e+01
2.589999999999999858e+00,5.082472373523655662e+00,3.287737054443674367e+01
2.600000000000000089e+00,1.411331969146939702e+00,3.231659954299428961e+01
2.609999999999999876e+00,-1.745367042039811079e+00,3.116273092889832697e+01
2.620000000000000107e+00,-4.303051308618001336e+00,2.959412300187306855e+01
2.629999999999999893e+00,-6.225778693862032753e+00,2.779752395009121457e+01
2.640000000000000124e+00,-7.525746458112633874e+00,2.595617663098266803e+01
2.649999999999999911e+00,-8.260070670086403055e+00,2.423857437791543390e+01
2.660000000000000142e+00,-8.525109285633709177e+00,2.278846388073852225e+01
2.669999999999999929e+00,-8.448725053471692448e+00,2.171659935111616591e+01
2.680000000000000160e+00,-8.180979721464140653e+00,2.109463647693468502e+01
2.689999999999999947e+00,-7.883813928517191982e+00,2.095142353067518215e+01
2.700000000000000178e+00,-7.720296135224868905e+00,2.127180929595298053e+01
2.709999999999999964e+00,-7.844019826527770078e+00,2.199795181463280613e+01
2.720000000000000195e+00,-8.389194004315880804e+00,2.303298602255199157e+01
2.729999999999999982e+00,-9.461912378193899187e+00,2.424679839364491230e+01
2.740000000000000213e+00,-1.113300751903499552e+01,2.548356722688355802e+01
2.750000000000000000e+00,-1.343280397136005533e+01,2.657066072256387557e+01
2.760000000000000231e+00,-1.634798527521292755e+01,2.732844213504002084e+01
2.770000000000000018e+00,-1.982068976877287270e+01,2.758051100785298360e+01
2.780000000000000249e+00,-2.374985364019411804e+01,2.716390943653977530e+01
2.790000000000000036e+00,-2.799473038198424391e+01,2.593883927460541017e+01
2.800000000000000266e+00,-3.238043559804781779e+01,2.379746669674722170e+01
2.810000000000000053e+00,-3.670529575627605112e+01,2.067143124438309698e+01
2.819999999999999840e+00,-4.074971867203967690e+01,1.653772469140866264e+01
2.830000000000000071e+00,-4.428625130969985690e+01,1.142265896648397216e+01
2.839999999999999858e+00,-4.709044577506659124e+01,5.403701151571910444e+00
2.850000000000000089e+00,-4.895211630125886160e+01,-1.390982600072714570e+00
2.859999999999999876e+00,-4.968653846383890738e+01,-8.785362646778708040e+00
2.870000000000000107e+00,-4.914511765968282475e+01,-1.656077250909205389e+01
2.879999999999999893e+00,-4.722503904709426337e+01,-2.446345313914508068e+01
2.890000000000000124e+00,-4.387740875158269205e+01,-3.221424782455223834e+01
2.899999999999999911e+00,-3.911341008982799394e+01,-3.952017952004201362e+01
2.910000000000000142e+00,-3.300803311760928693e+01,-4.608753590952674273e+01
2.919999999999999929e+00,-2.570099499478976313e+01,-5.163597998143084311e+01
2.930000000000000160e+00,-1.739455558332618779e+01,-5.591310142362991797e+01
2.939999999999999947e+00,-8.348048819797282860e+00,-5.870873438588134263e+01
2.950000000000000178e+00,1.130905073282765683e+00,-5.986829891127787562e+01
2.959999999999999964e+00,1.069837211485643280e+01,-5.930438580790757186e+01
2.970000000000000195e+00,1.998893978876261457e+01,-5.700580664668746778e+01
2.979999999999999982e+00,2.863289659139782017e+01,-5.304337920039851895e+01
2.990000000000000213e+00,3.627504467410184219e+01,-4.757181879990123718e+01
3.000000000000000000e+00,4.259425909721758785e+01,-4.082725924678701546e+01
3.010000000000000231e+00,4.732276468033068539e+01,-3.312013051452196066e+01
3.020000000000000018e+00,5.026400652428132787e+01,-2.482336747258371901e+01
3.030000000000000249e+00,5.130795634489352608e+01,-1.635620277419181789e+01
3.040000000000000036e+00,5.044273422797709827e+01,-8.164092235619976989e+00
3.050000000000000266e+00,4.776154053853683479e+01,-6.956135514491270655e-01
3.060000000000000053e+00,4.346408651961568381e+01,5.622552073145469897e+00
3.070000000000000284e+00,3.785197970394007427e+01,1.041122260912143993e+01
3.080000000000000071e+00,3.131785056365666264e+01,1.336341255099526215e+01
3.089999999999999858e+00,2.432838283565674686e+01,1.426656256951869040e+01
3.100000000000000089e+00,1.740180951206343352e+01,1.302076397764069426e+01
3.109999999999999876e+00,1.108083351001102912e+01,9.651570263644872583e+00
3.120000000000000107e+00,5.902298269573046596e+00,4.316222725800886728e+00
3.129999999999999893e+00,2.365240540466917452e+00,-2.697550593095451088e+00
3.140000000000000124e+00,8.991790028959489867e-01,-1.098058942949237604e+01
3.149999999999999911e+00,1.834605954732952071e+00,-2.001916289325060561e+01
3.160000000000000142e+00,5.377639173988728594e+00,-2.921908833863620814e+01
3.169999999999999929e+00,1.159064924716568612e+01,-3.793605718866429299e+01
3.180000000000000160e+00,2.038040523440183449e+01,-4.551065493034952425e+01
3.189999999999999947e+00,3.149488920353539356e+01,-5.130617282754295161e+01
3.200000000000000178e+00,4.452943796717542568e+01,-5.474702360010977031e+01
3.209999999999999964e+00,5.894230678155319225e+01,-5.535541828044810586e+01
3.220000000000000195e+00,7.407915005510271556e+01,-5.278395460623868019e+01
3.229999999999999982e+00,8.920531799571743647e+01,-4.684191683685284602e+01
3.240000000000000213e+00,1.035443170772788477e+02,-3.751339014752247891e+01
3.250000000000000000e+00,1.163203164582721740e+02,-2.496573595214704255e+01
3.260000000000000231e+00,1.268022379779851718e+02,-9.547533171161560972e+00
3.270000000000000018e+00,1.343467728930964995e+02,8.224269171652522914e+00
3.280000000000000249e+00,1.384376433492671481e+02,2.768756153144596155e+01
3.290000000000000036e+00,1.387185786164383785e+02,4.806754267880064901e+01
3.300000000000000266e+00,1.350178009254827884e+02,6.851671980153655284e+01
3.310000000000000053e+00,1.273622964686956038e+02,8.816018277502107026e+01
3.320000000000000284e+00,1.159807553161770386e+02,1.061435014999270692e+02
3.330000000000000071e+00,1.012947613476270874e+02,1.216803669863328139e+02
3.339999999999999858e+00,8.389855416911332497e+01,1.340970541661741322e+02
3.350000000000000089e+00,6.452841955681532227e+01,1.428709343184325746e+02
3.359999999999999876e+00,4.402344277373968140e+01,1.476606010940451199e+02
3.370000000000000107e+00,2.327993268240858171e+01,1.483256767321288692e+02
3.379999999999999893e+00,3.202252994047446233e+00,1.449350023436397521e+02
3.390000000000000124e+00,-1.534695106148529575e+01,1.377626462596660133e+02
3.399999999999999911e+00,-3.159408615869675430e+01,1.272719384210390956e+02
3.410000000000000142e+00,-4.489660510185134967e+01,1.140885039743216964e+02
3.419999999999999929e+00,-5.477710062709205374e+01,9.896397309942028642e+01
3.430000000000000160e+00,-6.094744625498115909e+01,8.273263802177913817e+01
3.439999999999999947e+00,-6.332157656406707247e+01,6.626377105216613472e+01
3.450000000000000178e+00,-6.201623613891160858e+01,5.041257878058838315e+01
3.459999999999999964e+00,-5.733980449951502578e+01,3.597282946855920471e+01
3.470000000000000195e+00,-4.977006980554995152e+01,2.363404961544441818e+01
3.479999999999999982e+00,-3.992252429983469852e+01,1.394585241917038765e+01
3.490000000000000213e+00,-2.851134139823413705e+01,7.291459831977551431e+00
3.500000000000000000e+00,-1.630562845737348354e+01,3.871847362063336906e+00
3.510000000000000231e+00,-4.083802150966942435e+00,3.701222042560029291e+00
3.520000000000000018e+00,7.411010144244687403e+00,6.613790178973910194e+00
3.530000000000000249e+00,1.751178049281521965e+01,1.228103565537915820e+01
3.540000000000000036e+00,2.566216477653360428e+01,2.023806283802526806e+01
3.550000000000000266e+00,3.144290713814494609e+01,2.991700588222633783e+01
3.560000000000000053e+00,3.458871421880427022e+01,4.068510497345225474e+01
3.570000000000000284e+00,3.499492826496787501e+01,5.188482462125045203e+01
3.580000000000000071e+00,3.271403308836339363e+01,6.287335126110056649e+01
3.589999999999999858e+00,2.794270659724079309e+01,7.305895491714306900e+01
3.600000000000000089e+00,2.100074040498460093e+01,8.193201688158821128e+01
3.609999999999999876e+00,1.230363955611289128e+01,8.908898457031449425e+01
3.620000000000000107e+00,2.331061808414439884e+00,9.424807848097461260e+01
3.629999999999999893e+00,-8.406564091513248016e+00,9.725620035602278790e+01
3.640000000000000124e+00,-1.940089549002167502e+01,9.808712884333297666e+01
3.649999999999999911e+00,-3.017582444713593759e+01,9.683169217142518903e+01
3.660000000000000142e+00,-4.031304584203559926e+01,9.368113359903499315e+01
3.669999999999999929e+00,-4.947160582925530292e+01,8.890529877590151386e+01
3.680000000000000160e+00,-5.740050863007070348e+01,8.282754845626563167e+01
3.689999999999999947e+00,-6.394401888264290790e+01,7.579842044377161869e+01
