# eV,ground_re,ground_im,pumped_re,pumped_im
1.000000000000000021e-02,2.603303146175085203e+02,-2.564315660665251016e+03,2.036910621312581861e+04,-7.530847270890897198e+04
2.000000000000000042e-02,2.572454397608357795e+02,-1.255535479576519037e+03,1.987939846859071258e+04,-3.437359132132498053e+04
2.999999999999999889e-02,2.521869204190435312e+02,-8.081003123111274817e+02,1.908091743392925491e+04,-1.939400286381224578e+04
4.000000000000000083e-02,2.452760022264541533e+02,-5.767167664302139656e+02,1.799940814857187434e+04,-1.103651420875320400e+04
5.000000000000000278e-02,2.366762517436340545e+02,-4.325180566321099036e+02,1.666935014823559686e+04,-5.468482320017964412e+03
5.999999999999999778e-02,2.265877157977260765e+02,-3.326796792076963811e+02,1.513248956620082390e+04,-1.434026095367976950e+03
7.000000000000000666e-02,2.152398732248977922e+02,-2.589312498089972223e+02,1.343608234651019120e+04,1.593225838096464940e+03
8.000000000000000167e-02,2.028836914915121952e+02,-2.021817409916444603e+02,1.163093620028727673e+04,3.872455727979459425e+03
8.999999999999999667e-02,1.897831354045410137e+02,-1.573934791850385864e+02,9.769347798919206980e+03,5.549865997667849115e+03
1.000000000000000056e-01,1.762064922176908510e+02,-1.215320012934239884e+02,7.903035227300003498e+03,6.720139888701200107e+03
1.100000000000000006e-01,1.624178763132344159e+02,-9.263548544668590523e+01,6.081163794165354375e+03,7.453906169445233900e+03
1.199999999999999956e-01,1.486692577215002018e+02,-6.935156706316234931e+01,4.348556115901764315e+03,7.810824039715781510e+03
1.300000000000000044e-01,1.351933234348729513e+02,-5.069056575062451486e+01,2.744165463192119205e+03,7.845874795348663611e+03
1.400000000000000133e-01,1.221974310596416018e+02,-3.588740514984793606e+01,1.299875465699497681e+03,7.612159301604586290e+03
1.499999999999999944e-01,1.098588538295594930e+02,-2.432178835541092710e+01,3.967040663359187391e+01,7.161790339313259210e+03
1.600000000000000033e-01,9.832144791502847170e+01,-1.547124142776401534e+01,-1.020800342217482921e+03,6.545722243925948533e+03
1.700000000000000122e-01,8.769380115121106201e+01,-8.883426070183652712e+00,-1.874261462779156545e+03,5.813007201542375697e+03
1.799999999999999933e-01,7.804885070903206667e+01,-4.160026447886395751e+00,-2.521472750675895895e+03,5.009786696408035823e+03
1.900000000000000022e-01,6.942488962789643381e+01,-9.476394781240108367e-01,-2.970549250909166858e+03,4.178225042281053902e+03
2.000000000000000111e-01,6.182782193655251746e+01,1.067161279671168250e+00,-3.235993623881745407e+03,3.355528351096803817e+03
2.099999999999999922e-01,5.523447617616523075e+01,2.160397586637015976e+00,-3.337506257792540964e+03,2.573147570781923150e+03
2.200000000000000011e-01,4.959674967614211738e+01,2.572073921926911311e+00,-3.298646801101015626e+03,1.856229383126674293e+03
2.300000000000000100e-01,4.484633228918807646e+01,2.507150253608237733e+00,-3.145424447513843916e+03,1.223349683552462920e+03
2.399999999999999911e-01,4.089974899238409023e+01,2.136590118476178635e+00,-2.904893452780727330e+03,6.865393657608140074e+02
2.500000000000000000e-01,3.766346549108068587e+01,1.598774317140123191e+00,-2.603825257461653109e+03,2.515906937725620480e+02
2.600000000000000089e-01,3.503881862481510723e+01,1.001424036095274639e+00,-2.267519739225034755e+03,-8.138529844956806869e+01
2.700000000000000178e-01,3.292656219225645486e+01,4.240685570682199423e-01,-1.918806233822580680e+03,-3.171939446134625769e+02
2.800000000000000266e-01,3.123085646848646846e+01,-7.898688227522741856e-02,-1.577270909488567213e+03,-4.646381161289345414e+02
2.899999999999999800e-01,2.986257349286326956e+01,-4.752933633461257079e-01,-1.258731810285021766e+03,-5.355046542748083311e+02
2.999999999999999889e-01,2.874183727827191248e+01,-7.506266338562511686e-01,-9.749673820109803728e+02,-5.435168875617077902e+02
3.099999999999999978e-01,2.779976554519004495e+01,-9.052456555702677043e-01,-7.336895054037493082e+02,-5.033117621192575939e+02
3.200000000000000067e-01,2.697942469802817200e+01,-9.501986914645728088e-01,-5.387388363170221055e+02,-4.294943745582280599e+02
3.300000000000000155e-01,2.623605014226584586e+01,-9.038249739398515059e-01,-3.904692976907051616e+02,-3.358141280852341879e+02
3.400000000000000244e-01,2.553661774527618888e+01,-7.885807605947218191e-01,-2.862804072974465726e+02,-2.344960740670923087e+02
3.500000000000000333e-01,2.485887786897726315e+01,-6.282920726902510022e-01,-2.212510756635255689e+02,-1.357490714150926010e+02
3.599999999999999867e-01,2.418998013838892902e+01,-4.459053101375816119e-01,-1.888266713242178128e+02,-4.746003819599862084e+01
3.699999999999999956e-01,2.352482474896413933e+01,-2.617738560096808387e-01,-1.815124160151482897e+02,2.492840257073929067e+01
3.800000000000000044e-01,2.286427502259299871e+01,-9.248614521705574021e-02,-1.915302391054088957e+02,7.837043364406822832e+01
3.900000000000000133e-01,2.221335697191478076e+01,4.978939841303199609e-02,-2.114026261956815347e+02,1.120223820995563813e+02
4.000000000000000222e-01,2.157955611567818366e+01,1.574929176035373690e-01,-2.344351579846558309e+02,1.269304874138144754e+02
4.100000000000000311e-01,2.097130129749806216e+01,2.274657085094130560e-01,-2.550786937782633572e+02,1.256351580422116001e+02
4.199999999999999845e-01,2.039670156636673681e+01,2.604311787195373595e-01,-2.691618241788947898e+02,1.117276588110149333e+02
4.299999999999999933e-01,1.986257709783308201e+01,2.602556474287006649e-01,-2.739936350715379945e+02,8.939455799184798934e+01
4.400000000000000022e-01,1.937380041373162598e+01,2.330810996814452474e-01,-2.683453895708491928e+02,6.298239054727732622e+01
4.500000000000000111e-01,1.893294135666246802e+01,1.864167533617123451e-01,-2.523269460574960874e+02,3.661023488081025334e+01
4.600000000000000200e-01,1.854018968276786339e+01,1.282660872302476829e-01,-2.271792164718348488e+02,1.385172666942414388e+01
4.700000000000000289e-01,1.819351370775757815e+01,6.635199495353351351e-02,-1.950075018611165092e+02,-2.499021793418068071e+00
